timestamp,ranging.distance1,ranging.distance2,ranging.inD12,ranging.inD21,ranging.height0,ranging.height1,ranging.height2,ranging.yawR1,ranging.yawR2,ranging.vx1,ranging.vx2,ranging.vy1,ranging.vy2,ranging.vz1,ranging.vz2,kalman.stateZ,kalman.statePX,kalman.statePY,kalman.statePZ,stateEstimateZ.rateYaw,time_s
45655.946,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.320745587348938,0.0,0.0,0.0,0.0,0.0
45658.002,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.320745587348938,0.0,0.0,0.0,0.0,0.0020559999999968568
45659.911,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.322364091873169,0.0,0.0,0.0,0.0,0.003964999999996508
45661.902,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.322364091873169,0.0,0.0,0.0,0.0,0.005955999999998312
45664.086,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.322364091873169,0.0,0.0,0.0,0.0,0.008139999999999419
45665.837,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.322364091873169,0.0,0.0,0.0,0.0,0.009890999999995983
45667.894,995,1177,2456,2456,0.0,0.020018955692648888,0.019992602989077568,0.0711192637681961,0.036987561732530594,-0.0005136511172167957,-1.670000347075984e-05,0.0005666392971761525,-0.00033049649209715426,0.001961831469088793,-0.0007989190053194761,1.322364091873169,0.0,0.0,0.0,0.0,0.011947999999996682
45669.798,1046,1177,2458,2456,0.0,0.020019298419356346,0.019992602989077568,0.02745046094059944,0.036987561732530594,-0.0001749970397213474,-1.670000347075984e-05,-0.0004241499991621822,-0.00033049649209715426,0.0019822735339403152,-0.0007989190053194761,1.3239831924438477,0.0,0.0,0.0,0.0,0.013851999999998952
45671.773,1046,1177,2458,2456,0.0,0.020019298419356346,0.019992602989077568,0.02745046094059944,0.036987561732530594,-0.0001749970397213474,-1.670000347075984e-05,-0.0004241499991621822,-0.00033049649209715426,0.0019822735339403152,-0.0007989190053194761,1.3239831924438477,0.0,0.0,0.0,0.0,0.015826999999997496
45673.749,1046,1177,2458,2456,0.0,0.020019298419356346,0.019992602989077568,0.02745046094059944,0.036987561732530594,-0.0001749970397213474,-1.670000347075984e-05,-0.0004241499991621822,-0.00033049649209715426,0.0019822735339403152,-0.0007989190053194761,1.3239831924438477,0.0,0.0,0.0,0.0,0.017802999999999885
