d0_timestamp,d0_ranging.distance0,d0_ranging.distance1,d0_ranging.distance2,d0_acc.x,d0_acc.y,d0_acc.z,d0_gyro.x,d0_gyro.y,d0_gyro.z,d0_range.zrange,d0_mtf02.dpixelX,d0_mtf02.dpixelY,d0_mtf02.flowQual,d0_stateEstimate.vx,d0_stateEstimate.vy,d0_stateEstimate.vz,d0_kalman.statePX,d0_kalman.statePY,d0_kalman.statePZ,d0_stateEstimateZ.rateYaw,d0_t_s,d1_timestamp,d1_ranging.distance0,d1_ranging.distance1,d1_ranging.distance2,d1_acc.x,d1_acc.y,d1_acc.z,d1_gyro.x,d1_gyro.y,d1_gyro.z,d1_range.zrange,d1_mtf02.dpixelX,d1_mtf02.dpixelY,d1_mtf02.flowQual,d1_stateEstimate.vx,d1_stateEstimate.vy,d1_stateEstimate.vz,d1_kalman.statePX,d1_kalman.statePY,d1_kalman.statePZ,d1_stateEstimateZ.rateYaw,d1_t_s,d2_timestamp,d2_ranging.distance0,d2_ranging.distance1,d2_ranging.distance2,d2_acc.x,d2_acc.y,d2_acc.z,d2_gyro.x,d2_gyro.y,d2_gyro.z,d2_range.zrange,d2_mtf02.dpixelX,d2_mtf02.dpixelY,d2_mtf02.flowQual,d2_stateEstimate.vx,d2_stateEstimate.vy,d2_stateEstimate.vz,d2_kalman.statePX,d2_kalman.statePY,d2_kalman.statePZ,d2_stateEstimateZ.rateYaw,d2_t_s
27552.157,0.0,595.0,1101.0,0.008888720534741879,0.015958180651068687,0.9986958503723145,0.015373854897916317,-0.06903156638145447,-0.06781051307916641,0.0,0.0,0.0,0.0,2.8238048553466797,5.106344223022461,-0.2193486988544464,2.82171368598938,5.10890531539917,-0.18409638106822968,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,33546.481,1101.0,1888.0,0.0,-0.05424070358276367,0.026373470202088356,0.9982439279556274,-0.04854784533381462,-0.14067797362804413,-0.3156600594520569,20.0,0.0,0.0,150.0,-0.00033883770811371505,-6.445544568123296e-05,-0.0016715237870812416,-0.0002562725858297199,-0.00010405830107629299,-0.0016841806937009096,-5.0,0.0
27554.089,0.0,595.0,1101.0,0.007861621677875519,0.015978077426552773,0.9985076785087585,0.09696049243211746,-0.0957828238606453,-0.0668572410941124,0.0,0.0,0.0,0.0,2.8253142833709717,5.108295440673828,-0.2194448858499527,2.8232131004333496,5.110864162445068,-0.18415045738220215,-1.0,0.0019320000000006986,,,,,,,,,,,,,,,,,,,,,,,33548.456,1101.0,1888.0,0.0,-0.054095309227705,0.026454513892531395,0.9980457425117493,0.08504607528448105,-0.37839388847351074,-0.2845557630062103,20.0,0.0,0.0,150.0,-0.00033883770811371505,-6.445544568123296e-05,-0.0016715237870812416,-0.0002562725858297199,-0.00010405830107629299,-0.0016841806937009096,-4.0,0.0019749999999985448
27556.067,0.0,595.0,1101.0,0.007168238051235676,0.0158116202801466,0.9985207915306091,0.051652923226356506,-0.15261512994766235,-0.05437452346086502,0.0,0.0,0.0,0.0,2.8253142833709717,5.108295440673828,-0.2194448858499527,2.8232131004333496,5.110864162445068,-0.18415045738220215,0.0,0.0039099999999998546,,,,,,,,,,,,,,,,,,,,,,,33550.435,1101.0,1888.0,0.0,-0.0539386048913002,0.026857037097215652,0.9980188608169556,0.07948049902915955,-0.3898801803588867,-0.37755364179611206,20.0,0.0,0.0,150.0,-0.00033883770811371505,-6.445544568123296e-05,-0.0016715237870812416,-0.0002562725858297199,-0.00010405830107629299,-0.0016841806937009096,-6.0,0.0039539999999979045
27558.054,0.0,595.0,1101.0,0.006992381997406483,0.015768181532621384,0.9985989928245544,-0.029517194256186485,-0.10500279814004898,0.04878231883049011,0.0,0.0,0.0,0.0,2.8253142833709717,5.108295440673828,-0.2194448858499527,2.8232131004333496,5.110864162445068,-0.18415045738220215,0.0,0.005897000000000844,,,,,,,,,,,,,,,,,,,,,,,33552.687,1101.0,1888.0,0.0,-0.054103314876556396,0.027197685092687607,0.9982548952102661,-0.12475334852933884,-0.16000893712043762,-0.33267679810523987,20.0,0.0,0.0,150.0,-0.00033883770811371505,-6.445544568123296e-05,-0.0016715237870812416,-0.0002562725858297199,-0.00010405830107629299,-0.0016841806937009096,-5.0,0.006205999999998312
27560.065,0.0,595.0,1101.0,0.006890499498695135,0.016090398654341698,0.9985464215278625,-0.10342271625995636,-0.027882296591997147,0.1577693372964859,0.0,0.0,0.0,0.0,2.8253142833709717,5.108295440673828,-0.2194448858499527,2.8232131004333496,5.110864162445068,-0.18415045738220215,2.0,0.007907999999999447,,,,,,,,,,,,,,,,,,,,,,,33554.428,1101.0,1888.0,0.0,-0.054459478706121445,0.027147451415657997,0.9987581372261047,-0.16793006658554077,0.1507628858089447,-0.05440397560596466,20.0,0.0,0.0,150.0,-0.00033883770811371505,-6.445544568123296e-05,-0.0016715237870812416,-0.0002562725858297199,-0.00010405830107629299,-0.0016841806937009096,0.0,0.007947000000000117
27562.051,0.0,595.0,1101.0,0.0066061243414878845,0.016586875542998314,0.998224675655365,-0.03855267912149429,0.14993587136268616,0.1882297843694687,0.0,0.0,0.0,0.0,2.8253142833709717,5.108295440673828,-0.2194448858499527,2.8232131004333496,5.110864162445068,-0.18415045738220215,3.0,0.009894000000000232,,,,,,,,,,,,,,,,,,,,,,,33556.369,1101.0,1888.0,0.0,-0.05472071096301079,0.02678810991346836,0.9991661906242371,0.013869103044271469,0.3222935199737549,0.25774237513542175,20.0,0.0,0.0,150.0,-0.0008794185123406351,0.0003061977040488273,-0.0016695322701707482,-0.0007968236459419131,0.00026540341787040234,-0.0017173000378534198,4.0,0.00988799999999901
27563.986,0.0,595.0,1101.0,0.006362559273838997,0.016894929111003876,0.9977511167526245,0.15185479819774628,0.34849369525909424,0.186525359749794,0.0,0.0,0.0,0.0,2.8267624378204346,5.110398292541504,-0.21958430111408234,2.8247015476226807,5.112943649291992,-0.18433891236782074,3.0,0.011829000000001543,,,,,,,,,,,,,,,,,,,,,,,33558.345,1101.0,1888.0,0.0,-0.054739173501729965,0.026341471821069717,0.9990581274032593,0.17569677531719208,0.2148219347000122,0.3610974848270416,20.0,0.0,0.0,150.0,-0.0008794185123406351,0.0003061977040488273,-0.0016695322701707482,-0.0007968236459419131,0.00026540341787040234,-0.0017173000378534198,6.0,0.011864000000001398
27565.967,0.0,595.0,1101.0,0.006552109494805336,0.016813211143016815,0.9974063038825989,0.184101402759552,0.2488558292388916,0.21883827447891235,0.0,0.0,0.0,0.0,2.8267624378204346,5.110398292541504,-0.21958430111408234,2.8247015476226807,5.112943649291992,-0.18433891236782074,3.0,0.013810000000001309,,,,,,,,,,,,,,,,,,,,,,,33560.336,1101.0,1888.0,0.0,-0.054406795650720596,0.025969097390770912,0.9986801147460938,0.08661311119794846,0.010862123221158981,0.1579839438199997,20.0,0.0,0.0,150.0,-0.0008794185123406351,0.0003061977040488273,-0.0016695322701707482,-0.0007968236459419131,0.00026540341787040234,-0.0017173000378534198,2.0,0.013855000000003202
27568.187,0.0,595.0,1101.0,0.007152560632675886,0.016562480479478836,0.997488796710968,0.03958205133676529,-0.010769806802272797,0.1356295943260193,0.0,0.0,0.0,0.0,2.8267624378204346,5.110398292541504,-0.21958430111408234,2.8247015476226807,5.112943649291992,-0.18433891236782074,2.0,0.016030000000002473,,,,,,,,,,,,,,,,,,,,,,,33562.347,1101.0,1888.0,0.0,-0.053815361112356186,0.025762947276234627,0.9984623193740845,-0.07393240928649902,-0.17163608968257904,-0.12050874531269073,20.0,0.0,0.0,150.0,-0.0008794185123406351,0.0003061977040488273,-0.0016695322701707482,-0.00017079907411243767,-0.0002483306743670255,-0.001571202534250915,-2.0,0.015866000000001806
27569.951,0.0,595.0,1101.0,0.0075879404321312904,0.016387930139899254,0.9977924227714539,-0.11256936192512512,-0.11534778773784637,0.09181514382362366,0.0,0.0,0.0,0.0,2.8267624378204346,5.110398292541504,-0.21958430111408234,2.8247015476226807,5.112943649291992,-0.18433891236782074,1.0,0.017794000000001687,,,,,,,,,,,,,,,,,,,,,,,33564.322,1101.0,1888.0,0.0,-0.05348912253975868,0.025644831359386444,0.9980371594429016,-0.0831383690237999,-0.36709555983543396,-0.18104101717472076,20.0,0.0,0.0,150.0,-0.00024827156448736787,-0.00021130575623828918,-0.0015662753721699119,-0.00017079907411243767,-0.0002483306743670255,-0.001571202534250915,-3.0,0.01784100000000035
