time,d0_distance1,d0_height1,d0_vx1,d0_vy1,d0_vz1,d0_yawR1,d0_distance2,d0_height2,d0_vx2,d0_vy2,d0_vz2,d0_yawR2,d0_inD12,d0_inD21,d1_distance0,d1_height0,d1_vx0,d1_vy0,d1_vz0,d1_yawR0,d1_distance2,d1_height2,d1_vx2,d1_vy2,d1_vz2,d1_yawR2,d1_kalman_statePX,d1_kalman_statePY,d1_kalman_statePZ,d1_rateYaw,d1_inD02,d1_inD20,d2_distance0,d2_height0,d2_vx0,d2_vy0,d2_vz0,d2_yawR0,d2_distance1,d2_height1,d2_vx1,d2_vy1,d2_vz1,d2_yawR1,d2_kalman_statePX,d2_kalman_statePY,d2_kalman_statePZ,d2_rateYaw,d2_inD01,d2_inD10,mc0_cf_x,mc0_cf_y,mc0_cf_z,mc0_roll,mc0_pitch,mc0_yaw,mc1_cf_x,mc1_cf_y,mc1_cf_z,mc1_roll,mc1_pitch,mc1_yaw,mc2_cf_x,mc2_cf_y,mc2_cf_z,mc2_roll,mc2_pitch,mc2_yaw,mc_dist_01,mc_dist_02,mc_dist_12,mc_rel_01_x,mc_rel_01_y,mc_rel_01_z,mc_rel_02_x,mc_rel_02_y,mc_rel_02_z,mc_rel_12_x,mc_rel_12_y,mc_rel_12_z,mc_rel_01_yaw,mc_rel_02_yaw,mc_rel_12_yaw
0.0,1.042,0.02004845254123211,-0.0002924132568296045,-7.953981366881635e-06,0.0027015660889446735,-0.36928704380989075,1.163,0.020004352554678917,-3.905540143023245e-05,-0.0005349951679818332,0.0005119514535181224,0.027281630784273148,2.573,2.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006424,0.171399,0.122681,1.0920579791524307,-0.39769672398918055,-100.85600401064362,1.275378,0.055847,0.128415,-0.0527492405841661,-1.15988428410328,-76.92063245860837,-1.450644,0.10837,0.123285,-0.17014125431107166,1.038265949145887,-85.20645810392081,1.2870126303436185,1.4455948353729686,2.726532766521063,1.2818019999999999,-0.11555199999999999,0.005734000000000003,-1.44422,-0.063029,0.0006040000000000073,-2.726022,0.05252299999999999,-0.005129999999999996,23.93537155203525,15.649545906722807,-8.285825645312443
0.02,1.042,0.02004845254123211,-0.0002924132568296045,-7.953981366881635e-06,0.0027015660889446735,-0.36928704380989075,1.163,0.020004352554678917,-3.905540143023245e-05,-0.0005349951679818332,0.0005119514535181224,0.027281630784273148,2.573,2.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006119,0.171568,0.122904,1.1461827903224173,-0.453849029455014,-100.9786419841577,1.275342,0.055835,0.128228,-0.07863127061966797,-1.1830146421028804,-76.91133427400595,-1.451113,0.108153,0.123215,0.2289241739439345,0.78815618074971,-85.3432232106415,1.2866875171485888,1.4463848792703828,2.726961527106314,1.281461,-0.115733,0.005324000000000009,-1.4449940000000001,-0.063415,0.0003110000000000057,-2.726455,0.052317999999999996,-0.0050130000000000036,24.067307710151752,15.635418773516207,-8.431888936635545
0.04,1.107,0.020077023655176163,0.018729357048869133,-0.008390296250581741,0.0025898097082972527,0.4975391924381256,1.218,0.02000526152551174,0.00029292338876985013,0.0004337136051617563,0.00048280428745783865,0.1368163824081421,2.617,2.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006162,0.171575,0.12289,1.1498382074937372,-0.4597187169977677,-100.93014859835489,1.275359,0.055818,0.128231,-0.07949283051023204,-1.20080417611244,-76.91590072819304,-1.450254,0.108528,0.123484,-0.3429154790381503,1.0963244485638617,-85.23720143902999,1.286749502728095,1.4454677379689245,2.726126758585888,1.281521,-0.115757,0.005341000000000012,-1.444092,-0.063047,0.0005939999999999973,-2.725613,0.05271,-0.004747000000000015,24.014247870161853,15.692947159324902,-8.321300710836951
0.06,1.048,0.020081885159015656,0.02703622728586197,-0.01250957977026701,0.002435181522741914,0.6909153461456299,1.176,0.02000349946320057,-8.835828339215368e-05,-0.00034004051121883094,0.0003594414738472551,-0.02450568415224552,2.566,2.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006429,0.171411,0.122692,1.0670421769470764,-0.41317621466391247,-100.83395138757537,1.275355,0.05582,0.128234,-0.07958757092536607,-1.1880364928299612,-76.90171876836628,-1.450228,0.108609,0.123447,-0.2999256647416861,1.0543426665478284,-85.2853517954848,1.286997364294504,1.4451644244272,2.726098362821672,1.281784,-0.115591,0.005541999999999991,-1.443799,-0.06280200000000001,0.0007550000000000057,-2.7255830000000003,0.052788999999999996,-0.004786999999999986,23.93223261920909,15.548599592090568,-8.38363302711852
0.08,1.066,0.020073313266038895,0.030939321964979172,-0.014520387165248394,0.0024644886143505573,0.7201153039932251,1.157,0.020005006343126297,0.0003821604768745601,0.00031746141030453146,0.0005019901436753571,-0.02071329392492771,2.592,2.592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006137,0.171556,0.122922,1.1430578224194563,-0.4637933327987502,-100.96960487621764,1.275449,0.055763,0.128146,-0.11750504557522046,-1.247831828910613,-76.94736155932749,-1.451342,0.108066,0.122901,0.11319046621181031,0.9746059822197122,-85.15513686722994,1.286816997253689,1.4465989328649458,2.7272976133005726,1.2815860000000001,-0.11579299999999998,0.005224000000000006,-1.4452049999999999,-0.06348999999999999,-2.1000000000007124e-05,-2.726791,0.052302999999999995,-0.0052450000000000135,24.022243316890155,15.814468008987703,-8.207775307902452
0.1,1.067,0.020058846101164818,0.04160406440496445,-0.0203575249761343,0.0023184828460216522,0.6899828314781189,1.136,0.020003797486424446,-0.00017940305406227708,-0.0002022340486291796,0.00036154253757558763,-0.2533251941204071,2.553,2.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0064,0.171393,0.122702,1.070423304917562,-0.4006337944557695,-100.86734898916372,1.275392,0.055832,0.128371,-0.047624351206728234,-1.1663091093078695,-76.92221181836133,-1.450232,0.108638,0.123429,-0.2930119953896087,1.0422197854218562,-85.28617841043875,1.2870031909618562,1.4451953372392259,2.72613996089269,1.281792,-0.115561,0.005669000000000007,-1.443832,-0.06275499999999999,0.0007269999999999915,-2.725624,0.052806,-0.004942000000000016,23.945137170802383,15.581170578724965,-8.363966592077418
0.12,1.07,0.020034683868288994,0.047961849719285965,-0.024077769368886948,0.002223918680101633,-1.9980440139770508,1.175,0.020003167912364006,-7.345866379182553e-06,-0.0001089862416847609,0.0002921910781878978,0.06330067664384842,2.585,2.586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006156,0.171554,0.122909,1.147582774680556,-0.4585129363914971,-100.96020517292023,1.275393,0.055778,0.127953,-0.13438333322510396,-1.2612234788206045,-76.93025383712983,-1.450391,0.108548,0.123366,-0.38271185160257143,1.123612726622472,-85.2886974522708,1.2867778998385853,1.445608764538317,2.726298613161258,1.281549,-0.11577600000000002,0.005044000000000007,-1.444235,-0.063006,0.0004569999999999991,-2.725784,0.052770000000000004,-0.004587000000000008,24.0299513357904,15.67150772064943,-8.35844361514097
0.14,1.062,0.020004263147711754,0.05376029387116432,-0.027632489800453186,0.0021349021699279547,0.013564144261181355,1.188,0.020004753023386,0.0003299312957096845,-0.00032842924701981246,0.0005694119608961046,0.14164888858795166,2.564,2.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.005997,0.171665,0.123181,1.1434101452115188,-0.4547906674092409,-100.97742589252687,1.275382,0.055841,0.128388,-0.046621971427469766,-1.1536343851639659,-76.9213914049646,-1.450333,0.108549,0.123439,-0.3045432678384875,1.097880043252124,-85.21988767271941,1.286613560268195,1.4457144174822358,2.7262290599085763,1.281379,-0.11582400000000001,0.005207000000000003,-1.444336,-0.063116,0.00025799999999999434,-2.725715,0.052708000000000005,-0.004949000000000009,24.056034487562272,15.757538219807458,-8.298496267754814
0.16,1.124,0.01998085156083107,0.05904034897685051,-0.03108011558651924,0.0024142407346516848,0.11402954161167145,1.196,0.020005660131573677,0.0005175469559617341,-0.0005701759364455938,0.0005899976822547615,0.004301259759813547,2.597,2.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006435,0.171419,0.122716,1.0838753796498326,-0.4146639334734653,-100.84772834058658,1.275394,0.055857,0.128422,-0.04901525559145817,-1.1427216588714613,-76.92966183410279,-1.450237,0.108629,0.12341,-0.29877824295645766,1.0532462786653567,-85.28179614732863,1.2870402944434178,1.4451668695828865,2.7261464289889124,1.2818289999999999,-0.115562,0.005706000000000003,-1.443802,-0.06278999999999998,0.0006940000000000002,-2.725631,0.052772000000000006,-0.0050120000000000026,23.918066506483797,15.56593219325795,-8.352134313225847
0.18,1.065,0.019961506128311157,0.06387154757976532,-0.03443455696105957,0.0027507857885211706,-0.231631338596344,1.177,0.020005391910672188,0.00013784586917608976,-1.6499611774634104e-06,0.0005447276053018868,0.2263990342617035,2.553,2.553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006415,0.171395,0.122728,1.0716010768523054,-0.39194987207873927,-100.82477218433289,1.275409,0.055796,0.12835,-0.05613466379931581,-1.1858566148758793,-76.93655337943595,-1.450255,0.108614,0.123407,-0.28392706279559105,1.0638240696581014,-85.27744344375928,1.287038267753139,1.4452044355737357,2.7261801876011424,1.281824,-0.115599,0.005621999999999988,-1.44384,-0.06278099999999999,0.000678999999999999,-2.725664,0.052818000000000004,-0.004942999999999989,23.888218804896937,15.547328740573604,-8.340890064323332
