case,drag,cop,fdp,csv,pos_x,pos_y,pos_z,pos_total,vel_x,vel_y,vel_z,vel_total,att_roll,att_pitch,att_yaw
drag | cop | fdp,True,True,True,flight_diag_lr_mtf,0.8214769217858267,1.3682104159318327,0.10874725798803526,1.5995780823113925,0.116140329674607,0.09510277778824625,0.06468270301102276,0.16345325505715422,1.4803309572823788,1.8656362130081423,6.5249754629790235
drag | cop | fdp,True,True,True,flight_sine_mtf,0.6506185811169537,0.35124318229905177,0.13196018191934497,0.751059119389672,0.0687313045429696,0.060709234592200394,0.053907250828042624,0.1063747859259268,0.6915884487952598,2.1923207603768278,6.869547117029069
drag | cop | fdp,True,True,True,flight_y_mtf,0.17651414275023616,1.5208788146322219,0.12114587967680943,1.5358730206467692,0.059217365100458316,0.11959420365999987,0.06849843697143868,0.15000501906949867,1.2518683842359908,2.1483696165098918,1.8284919096737142
drag | cop | fdp,True,True,True,flight_z_mtf,0.28799854883277726,0.4062765262480198,0.1364700338900651,0.5163601941086271,0.04446644050394238,0.060708085439230376,0.05509388981130066,0.09326345834959843,0.43483396541785185,1.3067202637166475,1.8833233019945994
drag | cop | fdp,True,True,True,square_60cm_mtf,0.23253696636522497,0.7594211857491169,0.13416958872075727,0.8054784023351798,0.056845216021863675,0.06615463744300765,0.05170631485170435,0.10139702971651447,1.528123106649875,1.1748687197004342,5.045731994775048
drag | cop | fdp,True,True,True,square_120cm_mtf,0.4584040324929146,1.2613643222402495,0.12419974200244109,1.347812964153351,0.058531208749380455,0.059646219708917876,0.06715764546019475,0.1072087835346772,1.376098265341265,1.7061406218280024,6.1285676746871705
drag | cop | no-fdp,True,True,False,flight_diag_lr_mtf,0.768582047131043,1.3070472132579716,0.10868297318688593,1.5201653757135491,0.1195609395472867,0.09290905901439128,0.06402754722877128,0.16439719680244588,1.498763694421975,1.8464282613626375,6.504157682066087
drag | cop | no-fdp,True,True,False,flight_sine_mtf,0.5819855725790545,0.3516888750090263,0.13200956113503526,0.6926895377630219,0.06942737371259107,0.05983583938431624,0.0533342249849331,0.10604257376260222,0.6819222878132666,2.1625180210654853,6.835083679096081
drag | cop | no-fdp,True,True,False,flight_y_mtf,0.1616831928702476,1.4968000484184787,0.12119574285882939,1.5103775183342016,0.059083997844035084,0.11892116488144934,0.06849788384429346,0.14941593740006828,1.251061467532714,2.1351562438051603,1.8517183310955434
drag | cop | no-fdp,True,True,False,flight_z_mtf,0.2835212124772128,0.33986377677149193,0.1365403873832572,0.4631791684356079,0.0434936991218912,0.05448355665660883,0.05472304606993698,0.08862714922884493,0.42242160198753304,1.3324945799391292,1.8874355182092617
drag | cop | no-fdp,True,True,False,square_60cm_mtf,0.21968136914117875,0.7385510238414807,0.13422243136247072,0.7821337352690366,0.0576472607127194,0.0658980862927175,0.0514987793848558,0.10157700883001396,1.5400404115478028,1.1907125377805081,5.258216930205855
drag | cop | no-fdp,True,True,False,square_120cm_mtf,0.45575024499633277,1.2625509254791072,0.12421552829891497,1.348025453288233,0.058282534639247166,0.05936306505806365,0.06680128075317049,0.10669226048466145,1.37620045399471,1.7017154163610468,6.078971215995618
drag | no-cop | fdp,True,False,True,flight_diag_lr_mtf,0.8096738917238051,1.3565828302092915,0.1086956115723503,1.583573023934454,0.11326950823913315,0.09410926076649812,0.06449435299393488,0.16076708626723962,1.493722655986024,1.860304947079099,6.500870047029728
drag | no-cop | fdp,True,False,True,flight_sine_mtf,0.6980954774824072,0.3523582184252418,0.13195310029375043,0.7930354534636727,0.06761047397171999,0.06117972040992751,0.054048198177059366,0.10599689668242276,0.6919314300656692,2.2068307949004344,6.893618256423409
drag | no-cop | fdp,True,False,True,flight_y_mtf,0.1770429776803232,1.518427008994309,0.12114140919131286,1.5335057999923496,0.059195421789574945,0.11839624191290199,0.06861969635295635,0.1490987283229338,1.2548897513104575,2.146898551083883,1.813738465601812
drag | no-cop | fdp,True,False,True,flight_z_mtf,0.28669910738179194,0.4062463386612417,0.13647850452811572,0.5156150192221048,0.04452733885663916,0.060671893709391814,0.05506276436661169,0.09325057968522613,0.43532659644925387,1.3168519144044608,1.884285874136442
drag | no-cop | fdp,True,False,True,square_60cm_mtf,0.235931271353228,0.7528479138908223,0.13416642566511772,0.8002775618670481,0.056260720067068504,0.06582268761277416,0.051806875419500034,0.10090513945169241,1.5315052464087233,1.1782769693359372,5.06858877940361
drag | no-cop | fdp,True,False,True,square_120cm_mtf,0.4751829833709581,1.249122119035954,0.12420089194910312,1.3422111598072597,0.0583300978950722,0.06010300219566464,0.0675360527575633,0.10759130827094329,1.3849112577728393,1.6979280374158654,6.055385556487904
drag | no-cop | no-fdp,True,False,False,flight_diag_lr_mtf,0.7558721464715502,1.2931847410051158,0.10863279877620191,1.501822413319873,0.11655783668453058,0.09175902044946502,0.06385432993484018,0.16150177267711482,1.5107216672668908,1.8441195854088475,6.482534443161453
drag | no-cop | no-fdp,True,False,False,flight_sine_mtf,0.6274954683374242,0.3525876903531958,0.13200232103737886,0.7317740463639439,0.06806845729352279,0.06029781235340367,0.053464751680505254,0.10548753824592033,0.6827382952784649,2.176887463840656,6.860317425030452
drag | no-cop | no-fdp,True,False,False,flight_y_mtf,0.16251202945154863,1.4936108933881562,0.12119010604676216,1.5073057760016224,0.059014233417446695,0.1176918682106288,0.06862193773412108,0.1484689392672504,1.2551452073266747,2.13494383408139,1.8399033939580338
drag | no-cop | no-fdp,True,False,False,flight_z_mtf,0.28175304225000447,0.3397273390393863,0.13654870365324664,0.46200107161920856,0.04362231743914881,0.054359980509916216,0.05469367939312106,0.08859634656890686,0.4241879537496988,1.3375696986614307,1.8883539954591333
drag | no-cop | no-fdp,True,False,False,square_60cm_mtf,0.22267963808659938,0.7320946782379543,0.13421910338364793,0.776893562102186,0.0568914110784798,0.06556218328960954,0.051603072731508555,0.10098470006656599,1.5459286005525832,1.1939738116400491,5.281555842013106
drag | no-cop | no-fdp,True,False,False,square_120cm_mtf,0.4730885331606575,1.250286843392086,0.12421720209728697,1.3425572107974868,0.057943650341724155,0.05982643606642118,0.06716705351038714,0.10699571087011284,1.385888815722872,1.6946998100023585,6.005329752407177
no-drag | cop | fdp,False,True,True,flight_diag_lr_mtf,8.629981622794025,9.676208092065075,0.12678060640265135,12.966173651963329,1.064121696626192,2.743173771391077,0.9941214724984592,3.1057422345328427,6.9390406054147515,10.73115280083664,20.7727819365034
no-drag | cop | fdp,False,True,True,flight_sine_mtf,2.1975678831037544,1.816645093556245,0.13298549592431902,2.854328141422659,0.3296837042158362,0.5875994650768195,0.09236562255188648,0.680070499590621,2.1168761599127044,5.418448395984511,11.236491533886682
