feature,scale_pct,csv,pos_x,pos_y,pos_z,pos_total,vel_x,vel_y,vel_z,vel_total,att_roll,att_pitch,att_yaw
drag,-50,flight_diag_lr_mtf,1.4637530919698807,2.9903383135833073,0.11002491362668762,3.3311862490041295,0.43973278183674036,0.6236639334075431,0.31241362373229226,0.824574977517987,3.0952099329198393,3.9081763472929296,11.57852928537778
drag,-50,flight_sine_mtf,2.758673713418857,1.7851855566495745,0.1322204737026822,3.288563574335244,0.13871210518803398,0.15010611220781298,0.06393767003323687,0.21415162548325387,0.9661156118449454,3.102575917087592,7.997637530210655
drag,-50,flight_y_mtf,0.2246103013498562,2.805332187939938,0.12245280507131905,2.81697233952238,0.07984908269889637,0.7251202851765005,0.2564193732455916,0.7732568777307879,1.4856978651725796,1.9197168458361662,2.3142294206059324
drag,-50,flight_z_mtf,0.40625882004683744,0.8754685344088692,0.13649965035321304,0.974742806155763,0.05509160459556642,0.09240344856468843,0.05489873343403512,0.12077811530332182,0.44451314166310535,1.4646476256932666,1.841502165666693
drag,-50,square_60cm_mtf,0.2839657848209022,0.8192118336199627,0.13450017398067815,0.8774023547339984,0.14004932856032773,0.3348801061722254,0.09423986983631168,0.37501953683359557,1.928852418114017,2.5029916513675796,5.419339933883704
drag,-50,square_120cm_mtf,0.4269686093157968,2.362628204135439,0.12470759129808014,2.404135230731559,0.2352392551523264,0.36020403005419044,0.1342886320155748,0.4506860183326258,1.3397135950533086,2.5381432774803727,8.454980222452795
drag,-40,flight_diag_lr_mtf,1.2618035063047925,2.6700626633846225,0.10940997083829647,2.955224738770723,0.32251560373009025,0.426913968262942,0.22724788480116312,0.5813032359225256,2.60058922637097,3.064872710020373,8.39536807101016
drag,-40,flight_sine_mtf,2.0055337072645663,1.3981322475759088,0.13214829639124462,2.448346871855605,0.10810341059326288,0.11380394969170872,0.060309033265148075,0.1681513182841731,0.8319020950122201,2.78451364478062,7.437279452820208
drag,-40,flight_y_mtf,0.17793237870896825,2.430303472018476,0.12198670406386113,2.439859761024485,0.06967363702250173,0.4963387539145057,0.17979833039209125,0.532479120665901,1.3383843753709692,1.9554036588269994,2.0939601237162417
drag,-40,flight_z_mtf,0.3847009120835599,0.7331390630837719,0.1364919031376026,0.8391172249450004,0.05160942618507478,0.08159796229595993,0.05492422940027785,0.1110784916049004,0.4391306897052016,1.408894014844318,1.8524860366346036
drag,-40,square_60cm_mtf,0.24109705364193432,0.7823254334778036,0.13439576107353632,0.8295921249238026,0.10980648457806873,0.23994015423917586,0.07793006144112406,0.27513966662030126,1.7517402700709468,2.1096277122016573,5.783631829216503
drag,-40,square_120cm_mtf,0.3769575783920606,2.033838552047825,0.12458067896997226,2.0722250402105993,0.17714589189006827,0.24527646129190686,0.10828201981760707,0.32135059560111084,1.2852535547658028,2.2544303454092987,7.775423483765176
drag,-30,flight_diag_lr_mtf,1.2058439897002848,2.3230177572508137,0.10906953541823006,2.61961206890548,0.22659354238402804,0.2845052761955617,0.1604945075953489,0.39755046547769085,2.1146980026340048,2.4845760874620866,6.332548424336356
drag,-30,flight_sine_mtf,1.4203887694782533,1.0358983812700029,0.13208813621371462,1.7629625601544043,0.08469457709819787,0.08886883528230748,0.05759192712219861,0.135601148018463,0.7272195637704143,2.545326508679872,7.1575343990908475
drag,-30,flight_y_mtf,0.16221117466739052,2.1146753411800696,0.12167098965051992,2.1243747535462183,0.0636198463016563,0.3287015979516395,0.12555884397559017,0.3575713196551063,1.2749349321308767,2.000128783062266,1.9823459290016323
drag,-30,flight_z_mtf,0.3610034462059338,0.6201579108265222,0.13648535584139512,0.7304434097809558,0.04875392724112032,0.07377851839345294,0.054949836659725686,0.10411387874196244,0.43617926939751733,1.3737559703819144,1.8626222641485533
drag,-30,square_60cm_mtf,0.2198488303721747,0.7609503805959542,0.1343168784671832,0.803380366816559,0.08482726453923714,0.16700191935261463,0.0653537583914041,0.1983845246296922,1.6473931661165537,1.7808332005216476,5.758178479146191
drag,-30,square_120cm_mtf,0.3620520152976032,1.7528872348999114,0.124466031461885,1.7942093281008167,0.13033620574350824,0.16140056289411733,0.08901206803758328,0.22574502538589725,1.28032460417669,2.0482740675877515,7.184474678741136
drag,-20,flight_diag_lr_mtf,1.095514866730009,1.938316037162473,0.10889013737848652,2.2291430966104464,0.15516458905855599,0.18324725654611593,0.10992636388616663,0.2640822072889851,1.7460814075468596,2.122170105385175,5.542584418082173
drag,-20,flight_sine_mtf,1.0151017530288113,0.7364199874770336,0.13203775107853416,1.261023368010172,0.0700722350471232,0.07353752572775743,0.05573816353073329,0.11586469992382768,0.6755892586241228,2.374947626253458,6.998675573728824
drag,-20,flight_y_mtf,0.16310902097225818,1.860536137155831,0.12144231208890095,1.871616281600149,0.060466688127042714,0.2081897321920676,0.08963658834316611,0.23459305815189865,1.2497387176982457,2.0499760045513455,1.90334702024254
drag,-20,flight_z_mtf,0.3361041949339717,0.5321652543770982,0.13647968545611236,0.644043936669428,0.04671139408023036,0.06795524610200619,0.054984573193442625,0.09911192208290513,0.4343075280509065,1.3457476912788195,1.8715998361523418
drag,-20,square_60cm_mtf,0.21449228505070994,0.752560147972072,0.13425681725126878,0.7939638591525828,0.06659666194247499,0.11323492841162981,0.057078297843975445,0.1432312692083429,1.5859200313024817,1.521384595051935,5.567061303382152
drag,-20,square_120cm_mtf,0.3809697855241943,1.5386291997073094,0.12436553219821535,1.5899637031307512,0.09442266960577018,0.10147418440275566,0.07633441294375204,0.15823903827801836,1.3031884670216416,1.898156990684164,6.72800670396237
drag,-10,flight_diag_lr_mtf,0.9574023771711295,1.6055712335583112,0.10879743320303573,1.8725157353983586,0.11614760469847926,0.11866842973700924,0.07655652449301521,0.18284792516157064,1.5345952064834343,1.930791796624513,5.789009672281059
drag,-10,flight_sine_mtf,0.7686002615282863,0.5070103248439963,0.13199549370259364,0.9301766724002254,0.06522020272598146,0.0650338463036112,0.05456644008434647,0.10705406294082638,0.6698122203332363,2.2639073629148307,6.908193971134136
drag,-10,flight_y_mtf,0.16941580509993123,1.6674630917861681,0.12127478128398009,1.6804292457768706,0.05923942016043328,0.13463317639256517,0.07122697242432223,0.16342791281550123,1.2462555744217139,2.099742669309758,1.8575368988117762
drag,-10,flight_z_mtf,0.31166534466877305,0.4617195421699547,0.13647464044456686,0.573537749562844,0.045328072536062344,0.06376296473120456,0.05503287430535363,0.09565023306535232,0.4339251624339528,1.3239914656981682,1.8779911406153078
drag,-10,square_60cm_mtf,0.22008050687119887,0.7533395148424946,0.13420910626621094,0.7962210361027797,0.05706398873611311,0.0784621267363114,0.05275666670492137,0.11043491306771784,1.5457813933687552,1.3237750866438471,5.299772314711616
drag,-10,square_120cm_mtf,0.41610085846064443,1.3798891847956474,0.12427793469903908,1.4466095159996495,0.06998437218864194,0.06561886311130552,0.06946703047668196,0.1184454130386942,1.3410219482854426,1.78948948412244,6.391651432008675
drag,0,flight_diag_lr_mtf,0.8214769217858267,1.3682104159318327,0.10874725798803526,1.5995780823113925,0.116140329674607,0.09510277778824625,0.06468270301102276,0.16345325505715422,1.4803309572823788,1.8656362130081423,6.5249754629790235
drag,0,flight_sine_mtf,0.6506185811169537,0.35124318229905177,0.13196018191934497,0.751059119389672,0.0687313045429696,0.060709234592200394,0.053907250828042624,0.1063747859259268,0.6915884487952598,2.1923207603768278,6.869547117029069
drag,0,flight_y_mtf,0.17651414275023616,1.5208788146322219,0.12114587967680943,1.5358730206467692,0.059217365100458316,0.11959420365999987,0.06849843697143868,0.15000501906949867,1.2518683842359908,2.1483696165098918,1.8284919096737142
drag,0,flight_z_mtf,0.28799854883277726,0.4062765262480198,0.1364700338900651,0.5163601941086271,0.04446644050394238,0.060708085439230376,0.05509388981130066,0.09326345834959843,0.43483396541785185,1.3067202637166475,1.8833233019945994
drag,0,square_60cm_mtf,0.23253696636522497,0.7594211857491169,0.13416958872075727,0.8054784023351798,0.056845216021863675,0.06615463744300765,0.05170631485170435,0.10139702971651447,1.528123106649875,1.1748687197004342,5.045731994775048
drag,0,square_120cm_mtf,0.4584040324929146,1.2613643222402495,0.12419974200244109,1.347812964153351,0.058531208749380455,0.059646219708917876,0.06715764546019475,0.1072087835346772,1.376098265341265,1.7061406218280024,6.1285676746871705
