case,drag,cop,fdp,csv,pos_x,pos_y,pos_z,pos_total,vel_x,vel_y,vel_z,vel_total,att_roll,att_pitch,att_yaw
drag | cop | fdp,True,True,True,flight_diag_lr_mtf,0.8214769217858267,1.3682104159318327,0.10874725798803526,1.5995780823113925,0.116140329674607,0.09510277778824625,0.06468270301102276,0.16345325505715422,1.4803309572823788,1.8656362130081423,6.5249754629790235
drag | cop | fdp,True,True,True,flight_diag_rl_mtf,0.7632273427188726,0.8621151440562128,0.11027196344807572,1.156684228390562,0.1039252637965803,0.07840008349146414,0.06999651807140593,0.14780577150022933,1.3904902030253985,2.1635045307919256,5.24945885241403
drag | cop | fdp,True,True,True,flight_sine,0.751161569853435,0.8811992149722941,0.11175233029030311,1.16329030934577,0.06857046153125575,0.07017669093967258,0.047650532606291034,0.10907451307943095,0.9210913308761424,1.7224004242987783,1.7398257938927262
drag | cop | fdp,True,True,True,flight_sine_mtf,0.6506185811169537,0.35124318229905177,0.13196018191934497,0.751059119389672,0.0687313045429696,0.060709234592200394,0.053907250828042624,0.1063747859259268,0.6915884487952598,2.1923207603768278,6.869547117029069
drag | cop | fdp,True,True,True,flight_square,0.8835389044562593,1.0654587898816028,0.117775186965384,1.3891416138351291,0.06519905793586203,0.09149796796786952,0.054026799508583884,0.12466631607260195,1.3159967775011205,1.571586571332296,3.088089097853067
drag | cop | fdp,True,True,True,flight_square_mtf,0.4273588340831796,0.503100536645539,0.1310116645251559,0.672985719970057,0.06772612106335774,0.061771549133233336,0.04858717548951313,0.10374615838023495,1.5325082867492144,2.2559046806712746,39.799742248969565
drag | cop | fdp,True,True,True,flight_x_mtf,0.15231482014404812,0.4722557382381133,0.11482492111856102,0.509323128518844,0.0898676044986813,0.06152619322901248,0.07760010015384469,0.13372895847748129,0.9679943361468296,3.0616181608043775,1.6595481144785063
drag | cop | fdp,True,True,True,flight_y_mtf,0.17651414275023616,1.5208788146322219,0.12114587967680943,1.5358730206467692,0.059217365100458316,0.11959420365999987,0.06849843697143868,0.15000501906949867,1.2518683842359908,2.1483696165098918,1.8284919096737142
drag | cop | fdp,True,True,True,flight_z_mtf,0.28799854883277726,0.4062765262480198,0.1364700338900651,0.5163601941086271,0.04446644050394238,0.060708085439230376,0.05509388981130066,0.09326345834959843,0.43483396541785185,1.3067202637166475,1.8833233019945994
drag | cop | fdp,True,True,True,square_100cm_mtf,0.27054903125780705,1.2334871065317476,0.12667461353965076,1.2691468307528568,0.05739688869342691,0.05697069788534803,0.05569226842111994,0.0981921178665544,0.9990711482598662,1.880681086575883,3.8840271634526142
drag | cop | fdp,True,True,True,square_120cm_mtf,0.4584040324929146,1.2613643222402495,0.12419974200244109,1.347812964153351,0.058531208749380455,0.059646219708917876,0.06715764546019475,0.1072087835346772,1.376098265341265,1.7061406218280024,6.1285676746871705
drag | cop | fdp,True,True,True,square_60cm_mtf,0.23253696636522497,0.7594211857491169,0.13416958872075727,0.8054784023351798,0.056845216021863675,0.06615463744300765,0.05170631485170435,0.10139702971651447,1.528123106649875,1.1748687197004342,5.045731994775048
drag | cop | fdp,True,True,True,square_80cm_mtf,0.3974511254701717,1.2974731885695825,0.1335178285626028,1.3635362418133588,0.050021104309771705,0.06265427376714477,0.052226957510985876,0.0956834572353639,1.6635191735219614,1.0217169756108304,1.9321210891320544
drag | cop | no-fdp,True,True,False,flight_diag_lr_mtf,0.768582047131043,1.3070472132579716,0.10868297318688593,1.5201653757135491,0.1195609395472867,0.09290905901439128,0.06402754722877128,0.16439719680244588,1.498763694421975,1.8464282613626375,6.504157682066087
drag | cop | no-fdp,True,True,False,flight_diag_rl_mtf,0.7624054133880079,0.8760268787806168,0.1101715833804448,1.1665431344335293,0.10843487922348569,0.07531892885563855,0.06939146352368528,0.14915173242752366,1.2953447995716387,2.1345329978978174,5.313547165383759
