feature,scale_pct,csv,pos_x,pos_y,pos_z,pos_total,vel_x,vel_y,vel_z,vel_total,att_roll,att_pitch,att_yaw
drag,-50,flight_diag_lr_mtf,1.4637530919698807,2.9903383135833073,0.11002491362668762,3.3311862490041295,0.43973278183674036,0.6236639334075431,0.31241362373229226,0.824574977517987,3.0952099329198393,3.9081763472929296,11.57852928537778
drag,-50,flight_diag_rl_mtf,1.531524361662674,3.0072454270844435,0.11137901298127705,3.3766103141492714,0.4392177635991679,0.5851472012737337,0.30425822890067705,0.7923904093774197,3.146374547228441,4.42618427361129,7.960595225660776
drag,-50,flight_sine,0.8805782116561752,2.3850796931010643,0.11203185317145849,2.5449114454950466,0.19245188607071662,0.126561194405817,0.053753280224747436,0.23652669937350268,0.8417391475406953,1.9711222727292668,1.5675794873720768
drag,-50,flight_sine_mtf,2.758673713418857,1.7851855566495745,0.1322204737026822,3.288563574335244,0.13871210518803398,0.15010611220781298,0.06393767003323687,0.21415162548325387,0.9661156118449454,3.102575917087592,7.997637530210655
drag,-50,flight_square,1.1949906764651437,1.221543882036912,0.11798273503559617,1.7129191744933299,0.19238284119402602,0.22817689954885007,0.08221588096981212,0.30957278006513134,1.4272526563682004,1.5496915289639568,3.6802972575147432
drag,-50,flight_square_mtf,0.8186157249889744,0.8322149104746871,0.13130543671863013,1.1747146377429225,0.1780852979869107,0.16296044479211472,0.0632191457851518,0.24953384604044182,2.366075557678052,3.629575120505841,45.22993603248687
drag,-50,flight_x_mtf,0.5491429076681197,1.3589557794425036,0.11591137789057121,1.4702905124657746,0.4036304385895785,0.11942719921665333,0.21197154257208664,0.47128793929946866,1.1465244223464464,4.940759821061363,2.5435433868481896
drag,-50,flight_y_mtf,0.2246103013498562,2.805332187939938,0.12245280507131905,2.81697233952238,0.07984908269889637,0.7251202851765005,0.2564193732455916,0.7732568777307879,1.4856978651725796,1.9197168458361662,2.3142294206059324
drag,-50,flight_z_mtf,0.40625882004683744,0.8754685344088692,0.13649965035321304,0.974742806155763,0.05509160459556642,0.09240344856468843,0.05489873343403512,0.12077811530332182,0.44451314166310535,1.4646476256932666,1.841502165666693
drag,-50,square_100cm_mtf,0.27939914561974183,2.3556271371628483,0.127049076187584,2.3755387935521486,0.19676243483859623,0.3678024980731207,0.11986020809375911,0.4340053027748855,1.115626039155189,2.7234557825351366,5.051780163576597
drag,-50,square_120cm_mtf,0.4269686093157968,2.362628204135439,0.12470759129808014,2.404135230731559,0.2352392551523264,0.36020403005419044,0.1342886320155748,0.4506860183326258,1.3397135950533086,2.5381432774803727,8.454980222452795
drag,-50,square_60cm_mtf,0.2839657848209022,0.8192118336199627,0.13450017398067815,0.8774023547339984,0.14004932856032773,0.3348801061722254,0.09423986983631168,0.37501953683359557,1.928852418114017,2.5029916513675796,5.419339933883704
drag,-50,square_80cm_mtf,0.451926572788875,1.8157419571703983,0.13374382141054594,1.8759114829829213,0.11744623070384412,0.23733621203782954,0.0702437473879591,0.27396400985915936,1.8150414738072387,1.806450122076171,2.2077875537597698
drag,-40,flight_diag_lr_mtf,1.2618035063047925,2.6700626633846225,0.10940997083829647,2.955224738770723,0.32251560373009025,0.426913968262942,0.22724788480116312,0.5813032359225256,2.60058922637097,3.064872710020373,8.39536807101016
drag,-40,flight_diag_rl_mtf,1.195500336763798,1.9041556983915353,0.11079691729572495,2.251067732388687,0.32100735606822955,0.3905755232785142,0.2184248708250951,0.5507307747249647,2.6890625129208057,3.546416908630793,5.974761847447442
drag,-40,flight_sine,0.8832447887576312,1.9987824346269754,0.11192870960605664,2.1880997723766913,0.15190254688015792,0.10558752933303751,0.052563678993037495,0.19231757706620767,0.8389168925243862,1.8372414519219407,1.6854164202666282
