timestamp,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,range.zrange,mtf02.dpixelX,mtf02.dpixelY,mtf02.flowQual,locSrv.x,locSrv.y,locSrv.z,locSrv.qx,locSrv.qy,locSrv.qz,locSrv.qw
288066.029,0.006668380927294493,-0.004962166305631399,0.010691209696233273,0.03940677270293236,-0.016031133010983467,0.9992139339447021,0.21544784307479858,0.036774713546037674,0.10114019364118576,20,0.0,0.0,155,0.032426171004772186,-0.08555423468351364,0.15021094679832458,-0.0016473057912662625,-0.004764399025589228,-0.07254165410995483,0.997352659702301
288067.98,0.005710072349756956,-0.00469225225970149,-0.009277714416384697,0.03892717882990837,-0.016451364383101463,0.9988512992858887,0.024559570476412773,0.12033320963382721,0.10269589722156525,20,0.0,0.0,155,0.032426171004772186,-0.08555423468351364,0.15021094679832458,-0.0016473057912662625,-0.004764399025589228,-0.07254165410995483,0.997352659702301
288069.927,0.0063913920894265175,-0.0048985169269144535,-0.009282619692385197,0.03857078403234482,-0.01653956063091755,0.998367190361023,-0.03710036724805832,-0.03560973331332207,0.05946170911192894,20,0.0,0.0,155,0.032426171004772186,-0.08555423468351364,0.15021094679832458,-0.0016473057912662625,-0.004764399025589228,-0.07254165410995483,0.997352659702301
288071.913,0.0063913920894265175,-0.0048985169269144535,-0.009282619692385197,0.03847436234354973,-0.016634248197078705,0.998384416103363,0.08855212479829788,-0.19385039806365967,0.05007600784301758,20,0.0,0.0,155,0.032426171004772186,-0.08555423468351364,0.15021094679832458,-0.0016473057912662625,-0.004764399025589228,-0.07254165410995483,0.997352659702301
288073.895,0.0063913920894265175,-0.0048985169269144535,-0.009282619692385197,0.038298774510622025,-0.016949135810136795,0.998968243598938,0.08001548051834106,-0.27188414335250854,0.11543717980384827,20,0.0,0.0,155,0.03240104392170906,-0.08552049100399017,0.15017752349376678,-0.0018855070229619741,-0.004911764990538359,-0.07256122678518295,0.9973500967025757
288076.162,0.006081539671868086,-0.0047173514030873775,0.004625475965440273,0.037908632308244705,-0.017137954011559486,0.9999744296073914,-0.06997693330049515,-0.2585694193840027,0.14747433364391327,20,0.0,0.0,155,0.03240104392170906,-0.08552049100399017,0.15017752349376678,-0.0018855070229619741,-0.004911764990538359,-0.07256122678518295,0.9973500967025757
288077.892,0.006081539671868086,-0.0047173514030873775,0.004625475965440273,0.037636648863554,-0.017098208889365196,1.0009455680847168,-0.12567399442195892,0.07279680669307709,0.06812964379787445,20,0.0,0.0,155,0.03240104392170906,-0.08552049100399017,0.15017752349376678,-0.0018855070229619741,-0.004911764990538359,-0.07256122678518295,0.9973500967025757
288079.839,0.0066022127866744995,-0.005037473049014807,0.004611230455338955,0.03769337758421898,-0.017016256228089333,1.001420497894287,-0.07594149559736252,0.2248261272907257,0.09950131922960281,20,0.0,0.0,155,0.03240104392170906,-0.08552049100399017,0.15017752349376678,-0.0018855070229619741,-0.004911764990538359,-0.07256122678518295,0.9973500967025757
288081.813,0.0066022127866744995,-0.005037473049014807,0.004611230455338955,0.037793342024087906,-0.016915863379836082,1.0014894008636475,-0.014786793850362301,0.07214954495429993,0.14167943596839905,20,0.0,0.0,155,0.03250632807612419,-0.08556340634822845,0.15020091831684113,-0.0015556749422103167,-0.004452608060091734,-0.07253783941268921,0.9973545074462891
288083.794,0.006260260008275509,-0.004839555826038122,0.02014320157468319,0.038002852350473404,-0.016687337309122086,1.001358985900879,-0.06436170637607574,-0.039887458086013794,0.02490065060555935,20,0.0,0.0,155,0.03250632807612419,-0.08556340634822845,0.15020091831684113,-0.0015556749422103167,-0.004452608060091734,-0.07253783941268921,0.9973545074462891
288085.841,0.006260260008275509,-0.004839555826038122,0.02014320157468319,0.03848160058259964,-0.0162824559956789,1.0009115934371948,-0.16615164279937744,-0.03443510830402374,-0.009047103114426136,20,0.0,0.0,155,0.03250632807612419,-0.08556340634822845,0.15020091831684113,-0.0015556749422103167,-0.004452608060091734,-0.07253783941268921,0.9973545074462891
288087.788,0.005717009771615267,-0.004639942664653063,-0.014039299450814724,0.038945116102695465,-0.0157801304012537,1.0002952814102173,-0.18061578273773193,-0.050287339836359024,0.10428846627473831,20,0.0,0.0,155,0.03250632807612419,-0.08556340634822845,0.15020091831684113,-0.0015556749422103167,-0.004452608060091734,-0.07253783941268921,0.9973545074462891
288089.744,0.006179021205753088,-0.004942773841321468,-0.013837875798344612,0.03922424092888832,-0.015515272505581379,0.9996532201766968,-0.10365628451108932,-0.06465087085962296,0.1418263167142868,20,0.0,0.0,155,0.032358065247535706,-0.0855179950594902,0.15020084381103516,-0.0017353442963212729,-0.004971573129296303,-0.07269468158483505,0.9973403215408325
288091.719,0.005862198770046234,-0.0047590709291398525,0.00023095605138223618,0.039458777755498886,-0.015527193434536457,0.9991255402565002,-0.10007897019386292,0.028024734929203987,0.14009563624858856,20,0.0,0.0,155,0.032358065247535706,-0.0855179950594902,0.15020084381103516,-0.0017353442963212729,-0.004971573129296303,-0.07269468158483505,0.9973403215408325
288093.699,0.005862198770046234,-0.0047590709291398525,0.00023095605138223618,0.03985769674181938,-0.015839653089642525,0.9989994168281555,-0.09724406898021698,0.09644986689090729,0.168381467461586,20,0.0,0.0,155,0.032358065247535706,-0.0855179950594902,0.15020084381103516,-0.0017353442963212729,-0.004971573129296303,-0.07269468158483505,0.9973403215408325
