timestamp,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,range.zrange,motion.deltaX,motion.deltaY,motion.motion,locSrv.x,locSrv.y,locSrv.z,locSrv.qx,locSrv.qy,locSrv.qz,locSrv.qw
26882.797,0.011743330396711826,-0.005226472392678261,-0.022687489166855812,0.017843514680862427,-0.01703764498233795,1.0000925064086914,-0.06405849754810333,0.07299510389566422,-0.07775665074586868,22,0,0,48,0.008245931938290596,0.22190000116825104,0.14958646893501282,6.987585948081687e-05,-0.005260420963168144,0.0320267453789711,-0.9994731545448303
26884.778,0.011743330396711826,-0.005226472392678261,-0.022687489166855812,0.017617322504520416,-0.016992419958114624,1.0003714561462402,0.08591746538877487,0.08428311347961426,0.09543393552303314,22,0,0,48,0.008245931938290596,0.22190000116825104,0.14958646893501282,6.987585948081687e-05,-0.005260420963168144,0.0320267453789711,-0.9994731545448303
26886.762,0.012227260507643223,-0.0054861027747392654,-0.022623201832175255,0.017442617565393448,-0.01724226027727127,1.0008474588394165,0.10032801330089569,0.23339951038360596,0.24347837269306183,22,0,0,48,0.008261984214186668,0.2219344824552536,0.14959704875946045,8.125682506943122e-05,-0.0052570560947060585,0.03204984962940216,-0.9994724988937378
26888.82,0.012019582092761993,-0.005333485081791878,-0.009937675669789314,0.017191508784890175,-0.017473410815000534,1.001053810119629,0.013901549391448498,0.18464729189872742,0.2487853616476059,22,0,0,48,0.008261984214186668,0.2219344824552536,0.14959704875946045,8.125682506943122e-05,-0.0052570560947060585,0.03204984962940216,-0.9994724988937378
26890.738,0.012019582092761993,-0.005333485081791878,-0.009937675669789314,0.017293686047196388,-0.01750369556248188,1.000956654548645,0.07864851504564285,0.05643155053257942,0.1435519903898239,22,0,0,48,0.008261984214186668,0.2219344824552536,0.14959704875946045,8.125682506943122e-05,-0.0052570560947060585,0.03204984962940216,-0.9994724988937378
26892.7,0.012019582092761993,-0.005333485081791878,-0.009937675669789314,0.017753316089510918,-0.017501359805464745,1.000839114189148,0.1357397586107254,0.05247429385781288,0.06161966547369957,22,0,1,176,0.008259095251560211,0.22188210487365723,0.14957019686698914,-5.282593338051811e-05,-0.005156863480806351,0.03220053017139435,-0.9994681477546692
26894.692,0.009283912368118763,-0.004716421477496624,0.0022005129139870405,0.017995528876781464,-0.017504658550024033,1.0009965896606445,-0.11540229618549347,0.10525350272655487,0.033780407160520554,22,0,1,176,0.008259095251560211,0.22188210487365723,0.14957019686698914,-5.282593338051811e-05,-0.005156863480806351,0.03220053017139435,-0.9994681477546692
26896.663,0.009707607328891754,-0.005018217489123344,0.002317148493602872,0.017929647117853165,-0.017476921901106834,1.0012160539627075,-0.18227043747901917,0.20850303769111633,-0.07603318989276886,22,0,1,176,0.00829317793250084,0.22196632623672485,0.14964129030704498,0.00020027758728247136,-0.005261716432869434,0.032174061983823776,-0.9994684457778931
26898.734,0.009566707536578178,-0.004872431978583336,0.01539215724915266,0.01817275770008564,-0.017519915476441383,1.0010024309158325,-0.023181257769465446,0.2752920985221863,-0.12749166786670685,22,0,1,176,0.00829317793250084,0.22196632623672485,0.14964129030704498,0.00020027758728247136,-0.005261716432869434,0.032174061983823776,-0.9994684457778931
26900.625,0.009566707536578178,-0.004872431978583336,0.01539215724915266,0.01863466203212738,-0.01775127835571766,1.0006413459777832,0.008173668757081032,0.17919614911079407,-0.041696831583976746,22,0,1,176,0.00829317793250084,0.22196632623672485,0.14964129030704498,0.00020027758728247136,-0.005261716432869434,0.032174061983823776,-0.9994684457778931
26902.61,0.009566707536578178,-0.004872431978583336,0.01539215724915266,0.018647659569978714,-0.018250184133648872,1.0005500316619873,-0.072504922747612,0.06260711699724197,0.022667163982987404,22,0,0,48,0.008274695836007595,0.2219134420156479,0.14959202706813812,-1.8676189938560128e-05,-0.005182252265512943,0.03217214345932007,-0.9994689226150513
26904.587,0.009436240419745445,-0.0047483546659350395,0.027832606807351112,0.018181830644607544,-0.018809890374541283,1.000626564025879,-0.022538423538208008,0.03228623792529106,0.04696465656161308,22,0,0,48,0.008274695836007595,0.2219134420156479,0.14959202706813812,-1.8676189938560128e-05,-0.005182252265512943,0.03217214345932007,-0.9994689226150513
26906.568,0.009942336939275265,-0.005100367125123739,0.027945557609200478,0.017773980274796486,-0.018759138882160187,1.000511884689331,0.055410079658031464,0.07426465302705765,0.05043918266892433,22,0,0,48,0.008274695836007595,0.2219134420156479,0.14959202706813812,-1.8676189938560128e-05,-0.005182252265512943,0.03217214345932007,-0.9994689226150513
26908.628,0.009942336939275265,-0.005100367125123739,0.027945557609200478,0.017121542245149612,-0.018134769052267075,1.000250220298767,0.05284396559000015,0.1051936149597168,-0.08071339130401611,22,0,0,48,0.00827116146683693,0.22186116874217987,0.14962312579154968,-0.00016851889085955918,-0.005313249304890633,0.032066334038972855,-0.9994716048240662
26910.53,0.009791946038603783,-0.004971059504896402,0.04124584421515465,0.01629761792719364,-0.01745099574327469,0.9998690485954285,0.10892214626073837,0.08929753303527832,-0.10749891400337219,22,0,0,48,0.00827116146683693,0.22186116874217987,0.14962312579154968,-0.00016851889085955918,-0.005313249304890633,0.032066334038972855,-0.9994716048240662
