timestamp,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,range.zrange,motion.deltaX,motion.deltaY,motion.motion,locSrv.x,locSrv.y,locSrv.z,locSrv.qx,locSrv.qy,locSrv.qz,locSrv.qw
31856.587,0.013818920589983463,-0.005909972824156284,-0.01600298285484314,0.032355111092329025,-0.011067196726799011,1.0014197826385498,0.18449406325817108,-0.11880704760551453,-0.168086975812912,21,-1,-1,176,-2.3294248580932617,0.5980644226074219,0.1431373506784439,0.0003856755211018026,0.0012156828306615353,-0.02888353355228901,0.9995819926261902
31858.573,0.013818920589983463,-0.005909972824156284,-0.01600298285484314,0.032423023134469986,-0.011036621406674385,1.0009745359420776,0.1791539192199707,-0.25910651683807373,-0.2298293262720108,21,-1,-1,176,-2.329558849334717,0.5980308055877686,0.14301824569702148,0.0002383256214670837,0.0008022190304473042,-0.028414463624358177,0.9995958805084229
31860.602,0.013818920589983463,-0.005909972824156284,-0.01600298285484314,0.032322149723768234,-0.010759007185697556,1.000428318977356,0.27786967158317566,-0.29650044441223145,-0.12435729056596756,21,-1,-1,176,-2.329558849334717,0.5980308055877686,0.14301824569702148,0.0002383256214670837,0.0008022190304473042,-0.028414463624358177,0.9995958805084229
31862.579,0.013598857447504997,-0.005838325247168541,-0.006608637981116772,0.03213893994688988,-0.010502240620553493,0.9999639987945557,0.27737733721733093,-0.30779415369033813,0.07947435975074768,21,-1,-1,176,-2.329558849334717,0.5980308055877686,0.14301824569702148,0.0002383256214670837,0.0008022190304473042,-0.028414463624358177,0.9995958805084229
31864.518,0.013598857447504997,-0.005838325247168541,-0.006608637981116772,0.03195713832974434,-0.010400606319308281,0.9993318915367126,0.06849141418933868,-0.2942017912864685,0.16587266325950623,21,1,0,176,-2.3295111656188965,0.5980213284492493,0.14312054216861725,0.0004834380524698645,0.0010070007992908359,-0.028810827061533928,0.9995842576026917
31866.498,0.013598857447504997,-0.005838325247168541,-0.006608637981116772,0.03190765157341957,-0.010490437038242817,0.9985125064849854,-0.24991430342197418,-0.14964772760868073,0.22506213188171387,21,1,0,176,-2.3295111656188965,0.5980213284492493,0.14312054216861725,0.0004834380524698645,0.0010070007992908359,-0.028810827061533928,0.9995842576026917
31868.472,0.01222312543541193,-0.006873300299048424,0.013728560879826546,0.03215496614575386,-0.010584195144474506,0.9981740713119507,-0.15518774092197418,0.049160100519657135,0.12451672554016113,21,1,0,176,-2.329376220703125,0.5980634093284607,0.14321115612983704,0.00023777491878718138,0.0012266315752640367,-0.028643088415265083,0.9995889067649841
31870.511,0.01222312543541193,-0.006873300299048424,0.013728560879826546,0.032547060400247574,-0.01068076677620411,0.9982556700706482,0.09341114014387131,0.09482406824827194,-0.14060871303081512,21,1,0,176,-2.329376220703125,0.5980634093284607,0.14321115612983704,0.00023777491878718138,0.0012266315752640367,-0.028643088415265083,0.9995889067649841
31872.467,0.01222312543541193,-0.006873300299048424,0.013728560879826546,0.032777801156044006,-0.010942327789962292,0.9983190298080444,0.07492207735776901,0.0047275833785533905,-0.21208901703357697,21,1,0,176,-2.329434871673584,0.598090410232544,0.14319999516010284,0.000308604707242921,0.0013955689501017332,-0.02864937297999859,0.9995884895324707
31874.422,0.012631131336092949,-0.007012608926743269,0.024534713476896286,0.03274795413017273,-0.011058090254664421,0.9983116984367371,-0.0018861384596675634,-0.1262282282114029,-0.03123367205262184,21,0,0,48,-2.329434871673584,0.598090410232544,0.14319999516010284,0.000308604707242921,0.0013955689501017332,-0.02864937297999859,0.9995884895324707
