,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_00,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_01,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02,flapper_02
,ID,"385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","385491D02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","6E0EEBD02CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC","A0F698AD2CF911F1388F10CA05683EAC"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
17,0.094444,0.008077,0.766140,-0.008338,-0.642568,0.278417,0.122613,0.017577,0.006598,-0.850089,0.000701,0.526597,0.082715,0.128190,1.653710,-0.014472,-0.796614,-0.002962,0.604308,0.692823,0.122992,-1.395813
18,0.100000,0.008058,0.766245,-0.008341,-0.642444,0.278418,0.122575,0.017562,0.006479,-0.850253,0.000444,0.526335,0.082729,0.128193,1.653722,-0.014950,-0.794923,-0.002969,0.606519,0.693066,0.123013,-1.395720
19,0.105556,0.008073,0.766159,-0.008288,-0.642547,0.278423,0.122590,0.017605,0.006522,-0.850064,0.000669,0.526639,0.082682,0.128129,1.653719,-0.014939,-0.794777,-0.002852,0.606711,0.693001,0.123105,-1.395710
20,0.111111,0.008090,0.766172,-0.008337,-0.642531,0.278423,0.122583,0.017586,0.006034,-0.849425,0.001416,0.527672,0.082514,0.127526,1.653385,-0.014835,-0.794973,-0.002933,0.606456,0.693031,0.123122,-1.395676
21,0.116667,0.008000,0.766229,-0.008344,-0.642464,0.278406,0.122594,0.017591,0.006216,-0.851068,0.000695,0.525018,0.082646,0.127989,1.653771,-0.015096,-0.794779,-0.002839,0.606704,0.693049,0.123081,-1.395724
22,0.122222,0.008004,0.766175,-0.008397,-0.642527,0.278418,0.122594,0.017571,0.006461,-0.849977,0.000618,0.526781,0.082753,0.128224,1.653725,-0.014966,-0.795502,-0.003022,0.605758,0.692962,0.123061,-1.395721
23,0.127778,0.007957,0.766230,-0.008381,-0.642462,0.278403,0.122590,0.017564,0.006868,-0.851493,0.001634,0.524319,0.082616,0.127972,1.653618,-0.015018,-0.794968,-0.002805,0.606459,0.693066,0.123086,-1.395714
24,0.133333,0.008025,0.766710,-0.008725,-0.641884,0.278402,0.122377,0.017436,0.007310,-0.850561,0.001390,0.525823,0.082536,0.127988,1.653540,-0.015205,-0.794934,-0.002800,0.606499,0.693079,0.123083,-1.395734
25,0.138889,0.008078,0.766143,-0.008250,-0.642567,0.278418,0.122568,0.017570,0.005576,-0.850277,0.001458,0.526304,0.082573,0.127542,1.653457,-0.015044,-0.794884,-0.002812,0.606568,0.693038,0.123086,-1.395711
26,0.144444,0.008090,0.766054,-0.008274,-0.642672,0.278407,0.122607,0.017577,0.005909,-0.849449,0.001396,0.527636,0.082563,0.127609,1.653379,-0.015098,-0.794910,-0.002777,0.606533,0.693029,0.123112,-1.395741
