time,d0_distance1,d0_distance2,d0_inD12,d0_inD21,d0_height0,d0_height1,d0_height2,d0_yawR1,d0_yawR2,d0_vx1,d0_vx2,d0_vy1,d0_vy2,d0_vz1,d0_vz2,d0_kalman_stateZ,d0_kalman_statePX,d0_kalman_statePY,d0_kalman_statePZ,d0_rateYaw,d1_distance0,d1_distance2,d1_inD02,d1_inD20,d1_height0,d1_height1,d1_height2,d1_yawR0,d1_yawR2,d1_vx0,d1_vx2,d1_vy0,d1_vy2,d1_vz0,d1_vz2,d1_kalman_stateZ,d1_kalman_statePX,d1_kalman_statePY,d1_kalman_statePZ,d1_rateYaw,d2_distance0,d2_distance1,d2_inD01,d2_inD10,d2_height0,d2_height1,d2_height2,d2_yawR0,d2_yawR1,d2_vx0,d2_vx1,d2_vy0,d2_vy1,d2_vz0,d2_vz1,d2_kalman_stateZ,d2_kalman_statePX,d2_kalman_statePY,d2_kalman_statePZ,d2_rateYaw,mc0_cf_x,mc0_cf_y,mc0_cf_z,mc0_roll,mc0_pitch,mc0_yaw,mc0_vx_body,mc0_vy_body,mc0_vz_body,mc1_cf_x,mc1_cf_y,mc1_cf_z,mc1_roll,mc1_pitch,mc1_yaw,mc1_vx_body,mc1_vy_body,mc1_vz_body,mc2_cf_x,mc2_cf_y,mc2_cf_z,mc2_roll,mc2_pitch,mc2_yaw,mc2_vx_body,mc2_vy_body,mc2_vz_body,mc_dist_01,mc_rel_01_x,mc_rel_01_y,mc_rel_01_z,mc_rel_01_yaw,mc_dist_02,mc_rel_02_x,mc_rel_02_y,mc_rel_02_z,mc_rel_02_yaw,mc_dist_12,mc_rel_12_x,mc_rel_12_y,mc_rel_12_z,mc_rel_12_yaw
0.0,1974.0,1403.0802919705502,2263.0,2279.433090024291,0.0,1.2163729667663574,0.8041128854101834,-31.698230743408203,140.6444538421371,0.3576516807079315,0.2835285174875496,0.0025045566726475954,0.010765458143368671,-0.29782018065452576,-0.17935450266319308,3.5503434090718784,1.7909989823970203,-3.799486972409733,0.3350328241821622,2.2530413625322456,2107.0,2739.0,1692.0,1628.0,4.666415691375732,0.0,0.7928074598312378,9.999999974752427e-07,-39.8422737121582,9.999999974752427e-07,0.25940653681755066,9.999999974752427e-07,-0.0024696514010429382,9.999999974752427e-07,-0.17024235427379608,0.7754814028739929,0.3909798860549927,-0.003986608237028122,-0.05867530032992363,590.3083043311291,1332.0,2476.8277462609476,1231.0,1264.0,2.1207268238067627,0.8131834268569946,0.0,9.999999974752427e-07,46.70372686737224,9.999999974752427e-07,-0.0076338155195117,9.999999974752427e-07,-0.0054350923746824265,9.999999974752427e-07,0.5610910654067993,0.8069442510604858,-0.22787483036518097,0.03895358368754387,0.5448551177978516,-3334.5105724605255,-0.007969,-0.006603,0.122507,0.014257553843376236,0.0020123346372613593,-1.5965432719736654,0.013306890855938192,0.006824257218062468,0.01252977511683799,1.274573,-0.071426,0.126969,0.00832515808413481,0.006637026491392417,-1.2995008522856857,0.008639957632081934,0.005418893655107434,-0.003767679594185332,-1.386314,-0.166105,0.122932,-0.00781955182356997,-0.005799613740269605,-1.5977579862958287,-0.00015266198645309272,0.0009986287506886299,0.009728377481418584,1.2841868682310218,0.03178362510925626,1.2837857314473913,0.004461999999999994,0.29704241968797973,1.3875431552402255,0.19493338796899623,-1.3737819336721273,0.0004249999999999948,-0.0012147143221632462,2.6625739496169865,-0.6218477690145836,-2.588935899550544,-0.004036999999999999,-0.298257134010143
0.02,1977.0,1305.8182696954266,2315.0,2295.0,0.0,1.21284818649292,0.7986676692962646,377.8929748535156,-344.1695314726183,0.3641384541988373,0.28011488914489746,-0.005787030793726444,-0.01029815524816513,-0.295458048582077,-0.10408580303192139,3.5560404029429598,1.792421775315916,-3.7989900068363274,0.3349400404399575,-1.6442725954533264,2093.0,2700.0,1664.0,1664.0,4.684107303619385,0.0,0.7883855700492859,9.999999974752427e-07,-12.355533599853516,9.999999974752427e-07,0.2522048056125641,9.999999974752427e-07,-0.012519842945039272,9.999999974752427e-07,-0.1883835345506668,0.7726895809173584,0.39801788330078125,-0.018307294696569443,-0.0381142683327198,-568.7087281652439,1332.0,2529.502308876558,1231.0,1316.1385325810088,2.1207268238067627,0.8249856381308855,0.0,9.999999974752427e-07,-40.6234985668563,9.999999974752427e-07,-0.004171179347796507,9.999999974752427e-07,-0.0035687968354198092,9.999999974752427e-07,0.5507617849087985,0.8171301484107971,-0.22839975357055664,0.04218146577477455,0.564044713973999,-1419.4448435127588,-0.007979,-0.0065908,0.122574,0.014667819247209479,0.001745590293053656,-1.5968262980351322,0.001263567133332554,-0.0003335464552221331,0.004510379206354324,1.2745886,-0.07141499999999999,0.12697899999999998,0.008260077028819257,0.006318689338196526,-1.2994053150713156,-0.0001726827362208517,-0.004179742889801512,0.0020682060290738062,-1.3863032,-0.166106,0.1229672,-0.0073436843955269285,-0.0054543485079168175,-1.5981495388523723,-0.007854111578358804,0.04163553242122918,0.044799010138123416,1.2842123001530223,0.0314208120312208,1.2838202982577807,0.004404999999999987,0.29742098296381647,1.3875240036782663,0.19533485031230072,-1.3737055705952164,0.0003931999999999935,-0.0013232408172402898,2.6625791356631767,-0.6220848318576699,-2.5888843193108717,-0.004011799999999993,-0.29874422378105675
0.04,1942.0,1328.40583941613,2223.0,2261.75036496344,0.0,1.200722336769104,0.7970566320013215,-242.6327667236328,57.603723920663384,0.37013760209083557,0.27838967626691985,-0.01693856529891491,-0.0035980070891170066,-0.3160336911678314,-0.11077301573290563,3.5617457846945535,1.794270534759021,-3.798325554993901,0.3346829029620418,-3.5381995133811106,2043.0,2702.0,1579.0,1579.0,4.6900153160095215,0.0,0.7842324376106262,9.999999974752427e-07,-85.33128356933594,9.999999974752427e-07,0.25379595160484314,9.999999974752427e-07,0.005329330451786518,9.999999974752427e-07,-0.1463261842727661,0.769187867641449,0.39962267875671387,-0.07597224414348602,-0.05755395069718361,4744.832754348962,1336.7989690721845,2386.0,1281.8690721651567,1284.0,2.142926110680661,0.8388383388519287,0.0,9.999999974752427e-07,203.44554138183594,9.999999974752427e-07,-0.0023006845731288195,9.999999974752427e-07,0.012764322571456432,9.999999974752427e-07,0.6221374869346619,0.8286305665969849,-0.23528537154197693,0.036860618740320206,0.57819664478302,719.5020618522026,-0.0079618,-0.0066083999999999995,0.1225432,0.014481527745028177,0.0022437070220668875,-1.5967280923266756,-0.00014939788209724486,-0.00242467954852371,-0.0017476252776503307,1.2745336,-0.071608,0.126772,0.008884865273129526,0.007873023715689964,-1.299881042703902,-0.006109454839762975,0.0004676187412603291,0.00010573257889027153,-1.386289,-0.1660842,0.1229948,-0.007463629415827367,-0.005723211977448362,-1.5980489511951443,-0.0017124532840263296,0.0017286659107540673,-0.001473642639059768,1.2841484731955422,0.031724103865109265,1.283749578976226,0.004228800000000007,0.29684704962277364,1.3875224704336457,0.1951606347876958,-1.3737287677817829,0.00045159999999999645,-0.0013208588684687328,2.6625020092507024,-0.6210416014828078,-2.5890557733704247,-0.0037772000000000114,-0.29816790849124236
0.06,1947.0,1388.0,2282.0,2223.0,0.0,1.1910555362701416,0.7934442162513733,-115.26470947265625,-520.3026123046875,0.35945507884025574,0.27642837166786194,-0.0024887260515242815,0.008480758406221867,-0.34827202558517456,-0.1579800397157669,3.5674358188331947,1.795993298163147,-3.797866056491802,0.3346312750469558,1.874458874455597,2043.0,2722.0,1579.0,1670.0,4.6900153160095215,0.0,0.7809961438179016,9.999999974752427e-07,-197.36129760742188,9.999999974752427e-07,0.2567550241947174,9.999999974752427e-07,0.01214685756713152,9.999999974752427e-07,-0.17504002153873444,0.7674906253814697,0.40521684288978577,-0.06923653930425644,0.03435908630490303,1526.8186372911896,1381.0,2386.0,1265.0,1284.0,2.1480774879455566,0.8388383388519287,0.0,9.999999974752427e-07,203.44554138183594,9.999999974752427e-07,-0.0023006845731288195,9.999999974752427e-07,0.012764322571456432,9.999999974752427e-07,0.6221374869346619,0.8411429739719115,-0.2356205042123202,0.05140409231824669,0.5565707341248715,1911.8876574341155,-0.0079768,-0.0065984,0.12256639999999999,0.014559024897113915,0.002136793508815726,-1.5967052972071463,-0.005269286444606565,0.000976887599720284,0.0022609242727284736,1.2746058,-0.0714046,0.12692679999999998,0.008100171879345553,0.006504650766172748,-1.2996385268409318,-0.0031448136904186083,-0.0014639935810731313,0.005373804182275535,-1.3862962,-0.1660904,0.1229562,-0.00757759622879659,-0.005558947731973918,-1.5982511960039847,0.00013281829556428148,-0.0014136736206221277,0.004092691724918565,1.2842262194181404,0.031557773173553454,1.283830976807379,0.004360399999999992,0.2970667703662144,1.387516565146992,0.1951453114043199,-1.3737249615053868,0.00038980000000000405,-0.0015458987968385068,2.6625890820779547,-0.621488797520231,-2.589037758336926,-0.003970599999999988,-0.29861266916305296
0.08,2013.0,1306.0,2302.0,2302.0,0.0,1.1910555362701416,0.7872121930122375,-27.12582015991211,-207.15782165527344,0.35945507884025574,0.2690565288066864,-0.0024887260515242815,0.011636774055659771,-0.34827202558517456,-0.09153658151626587,3.5731577796843474,1.7977348025562703,-3.7974698474106274,0.3346823154722601,-3.327184466018326,2043.0,2751.0,1579.0,1604.0,4.6900153160095215,0.0,0.7784475088119507,9.999999974752427e-07,140.17938232421875,9.999999974752427e-07,0.2503860890865326,9.999999974752427e-07,0.007159067317843437,9.999999974752427e-07,-0.04704122990369797,0.7653486728668213,0.4152141511440277,-0.06555645167827606,-0.006778269074857235,1110.248704658492,1381.0,2460.07766011103,1265.0,1316.0,2.1480774879455566,0.8674059472658872,0.0,9.999999974752427e-07,-178.97199315041,9.999999974752427e-07,-0.0028722529953298936,9.999999974752427e-07,-0.014421157133104517,9.999999974752427e-07,0.5969271037954408,0.8528869177918904,-0.23224347266234144,0.07790736562515417,0.5111800711442845,-562.1981845828132,-0.0079466,-0.006665399999999999,0.1225782,0.014415553994949893,0.0024387665361846446,-1.5968280136960722,-0.0013880291643354019,-0.0013585639705403776,-0.00038112893741167747,1.2745816,-0.071466,0.12694840000000002,0.008331244404082661,0.006970749585325731,-1.2997300897306403,0.0017689370557540255,-0.0018528118146647482,-0.002510382250398063,-1.3862938,-0.1661052,0.12299299999999999,-0.007319354011802481,-0.00533679076648288,-1.5981183440432107,-0.0027722314177959576,-0.0025733596140450786,-0.003025291407593669,1.2841716404546477,0.03139604215284841,1.2837802789105732,0.004370200000000007,0.29709792396543194,1.3875381904241668,0.19526241035187158,-1.3737300992029917,0.0004147999999999985,-0.0012903303471386352,2.6625608198559534,-0.6212894923341485,-2.5890564898818704,-0.003955400000000009,-0.29838825431257054
0.1,2043.0,1351.927431059777,2255.0,2289.0,0.0,1.175506353378296,0.7851255215996397,64.56047821044922,240.76424572910125,0.33739006519317627,0.2629716927929058,-0.018607130274176598,0.03154374177855402,-0.46446692943573,-0.08909147858880061,3.5788597614222,1.7995026820975943,-3.7968260798987172,0.3343902206040259,4.775036284474283,2098.0,2749.263537906127,1618.0,1608.916967508902,4.704792499542236,0.0,0.7773256833372515,9.999999974752427e-07,207.6826966767936,9.999999974752427e-07,0.25718754917276454,9.999999974752427e-07,0.00025256917880027603,9.999999974752427e-07,-0.11469966391039645,0.7639656066894531,0.41853055357933044,-0.09725126624107361,0.04750266298651695,1163.8303249165233,1404.3069556451635,2498.0,1365.0,1316.0,2.156543731689453,0.8726586103439331,0.0,9.999999974752427e-07,-104.60398864746094,9.999999974752427e-07,-0.002189465332776308,9.999999974752427e-07,-0.01188739389181137,9.999999974752427e-07,0.5752761960029602,0.8651426393659011,-0.23242526289616375,0.0621794099382368,0.5752572148076376,2140.508568548723,-0.007934,-0.006594,0.122564,0.014363374585040667,0.0018847916917668073,-1.5971055835024526,-0.004125346785978588,-0.003699647933993167,-0.005534772292847891,1.274503,-0.07164,0.126726,0.00929171356670011,0.008191416476012625,-1.2996460906531846,-0.0026602300256776145,0.0014795938465113367,-0.0010255375926737653,-1.386291,-0.166078,0.122979,-0.00753354215488633,-0.005821696322114489,-1.5982565723437236,-0.0012856414574598583,-0.0023753053849522453,-0.00010040677014397587,1.2840922721241648,0.03128741758511014,1.2837043034070794,0.004161999999999999,0.297459492849268,1.3875530036470678,0.195688172433116,-1.3736845725546993,0.0004149999999999987,-0.0011509888412710723,2.6624720254472156,-0.6216790352225599,-2.5888720369003853,-0.0037470000000000003,-0.29861048169053905
0.12,1979.0,1374.0382937469903,2317.0,2313.6340281144667,0.0,1.1588859558105469,0.7821272011815523,317.00347900390625,-159.44646517943926,0.3479595184326172,0.25538873532355993,-0.04487822204828262,0.012412800289224698,-0.46160969138145447,-0.12262664915180678,3.584572079455576,1.8008949993538519,-3.796441590849543,0.3346367390104944,-3.1202132816261967,2076.0,2767.033160621784,1683.0,1618.8404145078148,4.713663578033447,0.0,0.7749055532593786,9.999999974752427e-07,158.1114175271228,9.999999974752427e-07,0.26427377048552314,9.999999974752427e-07,0.01064814765807865,9.999999974752427e-07,-0.1036050191351695,0.76143878698349,0.4240109920501709,-0.1126302108168602,0.05981559678912163,3091.9430051787,1405.0,2355.0,1365.0,1365.0,2.156543731689453,0.88791823387146,0.0,9.999999974752427e-07,179.22409057617188,9.999999974752427e-07,-0.003206083085387945,9.999999974752427e-07,0.006038672290742397,9.999999974752427e-07,0.6539406180381775,0.8778195637172544,-0.23031235046160758,0.07585014458213438,0.578524425482559,1660.9065184247734,-0.0079494,-0.006575,0.12247580000000001,0.01480992783967503,0.0021389053728384957,-1.5975434671936948,0.004560071423286887,0.0008912526333578466,0.004749278566397513,1.2746138,-0.0713852,0.1269848,0.008052926226700664,0.006489412247351156,-1.2998805898485029,-0.0009491699226445993,0.000749360434804551,-0.00017515872652694876,-1.386311,-0.1661,0.1229794,-0.007248334035095727,-0.005638683873320138,-1.5981695027471752,-0.002363771406478075,-0.00035629212448775086,0.000515276643727506,1.284207559763794,0.030486215052646877,1.2838376985329754,0.004508999999999999,0.2976628773451921,1.3875623156860535,0.19633077430202397,-1.3736022199578963,0.0005035999999999929,-0.0006260355534802639,2.6626129512955243,-0.6208402264374371,-2.589217843980485,-0.004005400000000006,-0.2982889128986724
0.14,2023.0,1356.3826086956542,2351.0,2351.0,0.0,1.1534699201583862,0.7788161039352417,118.43852996826172,505.6873699685631,0.34135356545448303,0.25328385829925537,-0.0454622320830822,0.023365342989563942,-0.42526009678840637,-0.12303179502487183,3.5902868955031684,1.8023264480673749,-3.796049225848654,0.33494684955348136,0.9826086956520773,2101.0,2855.0,1635.0,1635.0,4.719578742980957,0.0,0.771065354347229,9.999999974752427e-07,218.20298767089844,9.999999974752427e-07,0.28670457005500793,9.999999974752427e-07,0.04707075655460358,9.999999974752427e-07,-0.04588816687464714,0.7595196962356567,0.4315638840198517,-0.1067999079823494,0.040050704032182693,-3941.6965944337326,1341.0,2444.0,1308.0,1384.0,2.160781145095825,0.9097974896430969,0.0,9.999999974752427e-07,245.54544067382812,9.999999974752427e-07,-0.007161389570683241,9.999999974752427e-07,-0.0021552257239818573,9.999999974752427e-07,0.598050594329834,0.8900648645371232,-0.22762950757636588,0.08314151938389018,0.4937130562939719,-233.23356924947893,-0.0079924,-0.0066170000000000005,0.1225818,0.014807971124480889,0.0020022126921407147,-1.5967402806420516,0.002114646991940883,6.216543538290669e-05,0.005276992144021424,1.2745768,-0.0714628,0.1269722,0.008483109632516417,0.0068469987439677025,-1.2995819819017946,0.0006157320010253659,-0.001824951767518396,-0.004371906930130844,-1.3862729999999999,-0.1660884,0.1230382,-0.00754431679477241,-0.005615871270324746,-1.5982457101108607,0.0015387193693176756,0.003047459092334323,0.00033914984850104207,1.2842149379405576,0.03155279417558441,1.283819747882035,0.004390400000000008,0.297158298740257,1.3874756748231898,0.19517177035249308,-1.3736799173808258,0.00045640000000000405,-0.001505429468809183,2.662534720857863,-0.6216792070944678,-2.5889361836931113,-0.003934000000000004,-0.29866372820906617
0.16,1851.1080653664299,1356.0,2294.0,2351.0,0.0,1.1350888013839722,0.7788161039352417,-48.764214816584285,508.76910400390625,0.30996042490005493,0.25328385829925537,-0.02626948244869709,0.023365342989563942,-0.4763643443584442,-0.12303179502487183,3.5957729816436768,1.8033877611160278,-3.7955291271209717,0.33478933572769165,-2.100158144439801,2083.0,2703.0,1697.0,1653.0,4.722536563873291,0.0,0.768997311592102,9.999999974752427e-07,-221.1001739501953,9.999999974752427e-07,0.2864786982536316,9.999999974752427e-07,0.04018460959196091,9.999999974752427e-07,-0.0648396834731102,0.7583389282226562,0.4283142387866974,-0.09911077469587326,0.12204951047897339,7031.652828236105,1400.0,2460.0,1407.0,1407.0,2.169269561767578,0.923819899559021,0.0,9.999999974752427e-07,78.08500671386719,9.999999974752427e-07,-0.007670630235224962,9.999999974752427e-07,-5.505879016709514e-05,9.999999974752427e-07,0.5956489443778992,0.9034827716104533,-0.22077216364125116,0.06767817409873332,0.5806225662870006,-985.9899244286531,-0.007942600000000001,-0.006622,0.1225622,0.01461418550721456,0.0021643110501536446,-1.597200350465344,0.0012533098987144342,-0.0021523467661561644,-0.00414244328676009,1.274575,-0.0713892,0.1269434,0.00831236504277406,0.006281618569935299,-1.2997986960507713,-0.00492189492514079,-0.0002534404245490929,0.0035710348054254883,-1.3863052,-0.16609259999999998,0.1230152,-0.007215338793506198,-0.0055133670203380445,-1.5981383613747369,-0.0010150714846916338,0.002843113350290778,-0.003428936446440878,1.2841594062053874,0.030884935278223433,1.283780463285773,0.004381200000000002,0.29740165441457267,1.3875570384985108,0.1958051014646109,-1.3736719669182051,0.0004530000000000034,-0.0009380109093928724,2.6625678590087594,-0.6210513135012794,-2.5891209740440186,-0.003928199999999998,-0.2983396653239655
0.18,1877.0,1356.0,2316.0,2351.0,0.0,1.129888892173767,0.7788161039352417,35.287841796875,508.76910400390625,0.3054162561893463,0.25328385829925537,-0.034689076244831085,0.023365342989563942,-0.4949142336845398,-0.12303179502487183,3.601214647293091,1.8051351308822632,-3.7948358058929443,0.33492740988731384,-4.789000528815896,2052.0,2745.0,1640.0,1640.0,4.728454113006592,0.0,0.7667409181594849,9.999999974752427e-07,82.53400421142578,9.999999974752427e-07,0.2833596169948578,9.999999974752427e-07,0.05443064495921135,9.999999974752427e-07,-0.01457423809915781,0.7571876645088196,0.42758285999298096,-0.13518905639648438,0.08374365419149399,636.9412067944631,1423.0,2369.0,1357.0,1357.0,2.173520803451538,0.9381727576255798,0.0,9.999999974752427e-07,135.5921173095703,9.999999974752427e-07,-0.00893409363925457,9.999999974752427e-07,0.012265087105333805,9.999999974752427e-07,0.6482896208763123,0.9178771529072911,-0.22155238916086273,0.06470370036056643,0.6209395354968746,-961.8328298026363,-0.007963999999999999,-0.0066229999999999995,0.1225932,0.014790218865661143,0.002137787034814975,-1.5968962907368844,0.0005505900269261745,0.0022159639146365558,0.002722215571775443,1.2745933999999999,-0.071408,0.1269858,0.008166524882946825,0.006592485194029951,-1.2998277112778018,0.004341314385857818,-0.0025602364138907203,-0.0072974548315360285,-1.3863098,-0.1660752,0.1229688,-0.007423505654291951,-0.005881158106026696,-1.5980727965752437,-0.0010923018581751912,0.002407036771900412,0.006451163878997584,1.2842000927222252,0.031292034803455285,1.2838112716101002,0.004392600000000002,0.29706857945908266,1.3875382122595563,0.19536858343452435,-1.3737151306731803,0.0003755999999999982,-0.0011765058383593542,2.6625896906199573,-0.621017220779926,-2.589151460874889,-0.004017000000000004,-0.298245085297442
