time,x,y,z,vx,vy,vz,vx_b,vy_b,vz_b,roll,pitch,yaw
0.0020000000000095497,1.0370366406998621,0.9643668790326846,0.007174469684680146,-0.035822323207939,0.026236596828050577,-0.051369331498343246,-0.035822323207939,0.026236596828050577,-0.051369331498343246,-3.0213670912832136,-7.144064120911422,1.1135854404145549
0.004035000000015998,1.0363416889771206,0.9650495838016264,0.007028551623681964,-0.03527479722889655,0.02552434945871009,-0.05024989444237284,-0.03527479722889655,0.02552434945871009,-0.05024989444237284,-2.9638107886299454,-7.014619464893512,1.1010032343889833
0.005962000000010903,1.0356477409117943,0.9657295299113585,0.006882629290659849,-0.034726987455832393,0.024812645434739815,-0.04913202091888347,-0.034726987455832393,0.024812645434739815,-0.04913202091888347,-2.9063259233507974,-6.88546361577622,1.0885598358561426
0.007978000000008478,1.0349551416739526,0.966406441937875,0.006736800748913793,-0.03417910680902223,0.02410182132766404,-0.04801628888202028,-0.03417910680902223,0.02410182132766404,-0.04801628888202028,-2.848945051953594,-6.7566641289782,1.0762515961281314
0.009929000000028054,1.0342642258937818,0.9670800512660731,0.006591157983124572,-0.03363137884591224,0.02339223107940569,-0.04690326390324183,-0.03363137884591224,0.02339223107940569,-0.04690326390324183,-2.791699422055712,-6.628286387071638,1.064075843090898
0.01191700000003948,1.033575312848939,0.967750094109716,0.006445788615595379,-0.03308402819814612,0.02268424912774443,-0.04579349377341759,-0.03308402819814612,0.02268424912774443,-0.04579349377341759,-2.734619196761668,-6.500393518493626,1.0520309466305793
0.01393400000003453,1.032888692912763,0.9684163158117594,0.006300777328623776,-0.03253727067931814,0.021978270398499464,-0.04468750193635974,-0.03253727067931814,0.021978270398499464,-0.04468750193635974,-2.6777336313923863,-6.373046268767129,1.0401156235915536
0.015868000000040183,1.032204624988081,0.9690784726955617,0.006156207377250249,-0.03199131955044896,0.021274701099638582,-0.043585783183603906,-0.03199131955044896,0.021274701099638582,-0.043585783183603906,-2.6210708117072343,-6.2463029390806515,1.0283284684476357
0.017885000000035234,1.0315233455012083,0.9697363329414692,0.006012162329715582,-0.031446398360372704,0.020573940554877664,-0.042488802942720054,-0.031446398360372704,0.020573940554877664,-0.042488802942720054,-2.5646575513969565,-6.120219346926183,1.0166679632708515
0.01982900000001564,1.0308450738794126,0.9703896836720911,0.005868725739147289,-0.030902739897506467,0.01987636276534432,-0.04139699774293653,-0.030902739897506467,0.01987636276534432,-0.04139699774293653,-2.5085196385987167,-5.99484869049339,1.0051325220413725
0.021810000000016316,1.0301700126045485,0.9710383398068395,0.005725978997660823,-0.030360574916583657,0.01918230832973515,-0.040310776093518755,-0.030360574916583657,0.01918230832973515,-0.040310776093518755,-2.4526819030551796,-5.87024119333462,0.9937202651929233
0.023840000000006967,1.0294983507624809,0.9716821395332653,0.0055839990588928,-0.029820124753534728,0.01849208552735895,-0.039230524318409975,-0.029820124753534728,0.01849208552735895,-0.039230524318409975,-2.3971680112515017,-5.746443730076769,0.9824285262871577
0.02577400000001262,1.0288302722937634,0.9723209250551272,0.005442856213139681,-0.029281596834422635,0.01780598109067964,-0.03815661470535538,-0.029281596834422635,0.01780598109067964,-0.03815661470535538,-2.3420005771997943,-5.623499905292548,0.9712536170883643
0.027794000000000096,1.028165960994499,0.9729545275549033,0.005302613240798573,-0.028745180771343755,0.01712428397134429,-0.03708941245407634,-0.028745180771343755,0.01712428397134429,-0.03708941245407634,-2.287201646243737,-5.501450525430681,0.9601913527910576
0.029740000000003874,1.0275056015944686,0.9735827680935829,0.005163326832451694,-0.028211051938915814,0.0164473019135183,-0.036029278941782955,-0.028211051938915814,0.0164473019135183,-0.036029278941782955,-2.232792836916365,-5.380334132727315,0.9492379993714783
0.03172100000000455,1.0268493793105724,0.9742054700124276,0.005025049481359771,-0.02767938096938313,0.01577535385717751,-0.03497656287450816,-0.02767938096938313,0.01577535385717751,-0.03497656287450816,-2.17879506123866,-5.260187554131113,0.9383908012841187
0.033744000000012875,1.0261974743232933,0.9748224715227207,0.004887830782761209,-0.027150341263187227,0.015108752204753542,-0.033931588381362766,-0.027150341263187227,0.015108752204753542,-0.033931588381362766,-2.1252284267168737,-5.141046318036675,0.9276479309064354
0.03568200000000843,1.025550054392515,0.9754336250881929,0.00475171871110456,-0.026624114823530234,0.014447793161535686,-0.032894657625227,-0.026624114823530234,0.014447793161535686,-0.032894657625227,-2.072112399501592,-5.0229446441710985,0.9170083799371357
0.037690999999995256,1.0249072724506334,0.9760387841284864,0.004616761077467163,-0.026100894835307187,0.0137927585434523,-0.03186606310379559,-0.026100894835307187,0.0137927585434523,-0.03186606310379559,-2.0194658691951286,-4.9059152015273595,0.9064717923659955
0.039646000000033155,1.0242692694682685,0.976637792410816,0.0044830061917556846,-0.025580880535614886,0.013143921478687377,-0.03084609446024315,-0.025580880535614886,0.013143921478687377,-0.03084609446024315,-1.9673070546523277,-4.789989086744297,0.8960381799900101
0.04162100000002056,1.0236361786681152,0.9772304853460628,0.004350501851984772,-0.02506426931810997,0.012501549175248945,-0.02983503397240095,-0.02506426931810997,0.012501549175248945,-0.02983503397240095,-1.9156532048380708,-4.675195882471437,0.8857080001808241
0.04365000000001373,1.0230081250205094,0.9778166998963709,0.004219294079052002,-0.024551254824118664,0.011865902117313656,-0.0288331541098276,-0.024551254824118664,0.011865902117313656,-0.0288331541098276,-1.8645199578654277,-4.561563491883728,0.8754824234397179
0.04558700000001181,1.0223852219383314,0.978396285222217,0.004089426871496917,-0.024042032129863115,0.011237233276969487,-0.027840730551786732,-0.024042032129863115,0.011237233276969487,-0.027840730551786732,-1.8139206520657631,-4.449117892678714,0.8653630884411857
0.04760900000002266,1.0217675738169094,0.9789691093028992,0.003960942195629236,-0.023536805359317098,0.010615793988239513,-0.02685805381836673,-0.023536805359317098,0.010615793988239513,-0.02685805381836673,-1.763866042676887,-4.3378830147061755,0.8553515035757927
0.04955200000000559,1.0211552807872109,0.9795350582971597,0.0038338802420620982,-0.02303579146869277,0.01000184497204757,-0.025885419851410435,-0.02303579146869277,0.01000184497204757,-0.025885419851410435,-1.7143646150433465,-4.227880929282846,0.8454487174524197
0.05154300000000944,1.020548436178165,0.9800940259412543,0.0037082807706656055,-0.022539212149153085,0.009395659520236447,-0.02492311215869359,-0.022539212149153085,0.009395659520236447,-0.02492311215869359,-1.6654232099627193,-4.1191322727010515,0.8356553672964256
0.053566000000017766,1.0199471215468094,0.9806459027146192,0.0035841845059002564,-0.022047276654828935,0.008797513693504554,-0.023971393971489063,-0.022047276654828935,0.008797513693504554,-0.023971393971489063,-1.6170476676589536,-4.011656480876462,0.8259717452665073
0.05548900000002277,1.0193514086502504,0.9811905781847319,0.0034616324541893906,-0.021560169306553436,0.00820767667467518,-0.023030506761541884,-0.021560169306553436,0.00820767667467518,-0.023030506761541884,-1.5692436756990258,-3.905471822038942,0.8163977003911564
0.05750100000000202,1.0187613657269514,0.981727946337372,0.0033406647591569987,-0.021078046273449235,0.007626410526231118,-0.022100669198299016,-0.021078046273449235,0.007626410526231118,-0.022100669198299016,-1.522017560329295,-3.800595405102607,0.8069326691571158
0.0594610000000273,1.018177061342323,0.9822579002409451,0.003221322344485192,-0.020601036112737604,0.007053969503602944,-0.02118207947515872,-0.020601036112737604,0.007053969503602944,-0.02118207947515872,-1.4753765554682465,-3.6970431202031016,0.797575869619737
0.061431000000027325,1.0175985675445394,0.9827803282352114,0.003103648135336703,-0.020129241819919808,0.006490594068204711,-0.02027491799470828,-0.020129241819919808,0.006490594068204711,-0.02027491799470828,-1.4293285952113317,-3.594829579368493,0.7883264019328784
0.06346100000001798,1.0170259657655591,0.983295120606204,0.0029876842645709077,-0.019662748455268227,0.005936506970905196,-0.019379345023634153,-0.019662748455268227,0.005936506970905196,-0.019379345023634153,-1.3838815709790702,-3.4939682177606537,0.7791831999588251
0.06539300000002868,1.0164593471542918,0.9838021776082523,0.002873468862242815,-0.019201633269702294,0.005391909784094284,-0.01849550005200865,-0.019201633269702294,0.005391909784094284,-0.01849550005200865,-1.3390423953219415,-3.394471589983139,0.770144988843742
0.06741700000003448,1.0158988010589696,0.984301412305035,0.002761034991706211,-0.018745965876435778,0.004856979697170897,-0.017623508362364114,-0.018745965876435778,0.004856979697170897,-0.017623508362364114,-1.2948165043667528,-3.2963516682289855,0.7612106665769341
0.0693560000000275,1.0153444038394805,0.9847927493763305,0.002650410460054253,-0.018295799177021187,0.004331875266808252,-0.016763483145939284,-0.018295799177021187,0.004331875266808252,-0.016763483145939284,-1.2512077431722892,-3.1996199952662208,0.7523801422056724
0.07134500000000799,1.0147962209442085,0.9852761244440331,0.002541618736228089,-0.017851167230201703,0.003816746805619737,-0.015915523060590343,-0.017851167230201703,0.003816746805619737,-0.015915523060590343,-1.2082186640908275,-3.104287752813472,0.7436549976108106
