Frame,Time (Seconds),qX,qY,qZ,qW,pX,pY,pZ
67,0.186111,-0.006122,0.151069,-0.001516,-0.988503,-1.322285,0.051710,-0.084262
68,0.188889,-0.005658,0.150383,-0.002998,-0.988607,-1.322165,0.051911,-0.084131
69,0.191667,-0.005406,0.151313,-0.003153,-0.988466,-1.322032,0.051560,-0.084277
70,0.194444,-0.005508,0.150213,-0.002655,-0.988635,-1.322228,0.051864,-0.084097
71,0.197222,-0.004559,0.151349,-0.002553,-0.988467,-1.322016,0.051384,-0.084284
72,0.200000,-0.004917,0.150484,-0.002900,-0.988596,-1.322053,0.051423,-0.084159
73,0.202778,-0.005522,0.150114,-0.002987,-0.988649,-1.322195,0.051839,-0.084085
74,0.205556,-0.005473,0.151630,-0.002065,-0.988420,-1.322237,0.051412,-0.084283
75,0.208333,-0.006397,0.150755,-0.001492,-0.988549,-1.322221,0.052196,-0.084282
76,0.211111,-0.005263,0.151177,-0.003073,-0.988488,-1.322043,0.051538,-0.084252
77,0.213889,-0.005215,0.151244,-0.003056,-0.988478,-1.322036,0.051595,-0.084286
78,0.216667,-0.005455,0.150325,-0.002826,-0.988618,-1.322179,0.051916,-0.084102
79,0.219444,-0.005339,0.150895,-0.002892,-0.988531,-1.322073,0.051651,-0.084261
80,0.222222,-0.005576,0.150217,-0.002922,-0.988633,-1.322211,0.051822,-0.084090
81,0.225000,-0.005105,0.150897,-0.003054,-0.988532,-1.322070,0.051552,-0.084251
82,0.227778,-0.005583,0.150375,-0.002992,-0.988609,-1.322182,0.051853,-0.084113
83,0.230556,-0.004426,0.151227,-0.002509,-0.988486,-1.321988,0.051355,-0.084247
84,0.233333,-0.006275,0.151386,-0.002200,-0.988452,-1.322318,0.051878,-0.084247
85,0.236111,-0.005639,0.150247,-0.002858,-0.988628,-1.322196,0.051869,-0.084092
86,0.238889,-0.005905,0.151041,-0.001720,-0.988508,-1.322321,0.051727,-0.084234
87,0.241667,-0.005553,0.150352,-0.002741,-0.988613,-1.322170,0.051881,-0.084106
88,0.244444,-0.005163,0.151118,-0.003137,-0.988497,-1.322044,0.051637,-0.084262
89,0.247222,-0.005318,0.150160,-0.002476,-0.988644,-1.322153,0.051863,-0.084154
90,0.250000,-0.005495,0.150203,-0.002903,-0.988636,-1.322217,0.051803,-0.084123
91,0.252778,-0.005440,0.150106,-0.002874,-0.988651,-1.322223,0.051774,-0.084058
92,0.255556,-0.006230,0.150625,-0.001697,-0.988570,-1.322241,0.052085,-0.084257
93,0.258333,-0.005072,0.150115,-0.002291,-0.988653,-1.322175,0.051822,-0.084099
94,0.261111,-0.004885,0.150298,-0.002202,-0.988626,-1.322165,0.051672,-0.084135
95,0.263889,-0.005199,0.151185,-0.002974,-0.988487,-1.322057,0.051585,-0.084244
96,0.266667,-0.005178,0.150977,-0.003126,-0.988519,-1.322085,0.051614,-0.084270
97,0.269444,-0.005783,0.150360,-0.002879,-0.988610,-1.322180,0.051916,-0.084125
98,0.272222,-0.005970,0.152248,-0.002312,-0.988322,-1.322180,0.051542,-0.084380
99,0.275000,,,,,,,
100,0.277778,,,,,,,
101,0.280556,,,,,,,
102,0.283333,-0.004610,0.151449,-0.002615,-0.988451,-1.322001,0.051369,-0.084258
103,0.286111,-0.005437,0.150257,-0.002404,-0.988629,-1.322176,0.051780,-0.084144
104,0.288889,-0.005521,0.150110,-0.002659,-0.988650,-1.322214,0.051833,-0.084097
105,0.291667,-0.005236,0.150393,-0.002574,-0.988609,-1.322126,0.051832,-0.084136
106,0.294444,-0.005624,0.150254,-0.002851,-0.988627,-1.322216,0.051914,-0.084130
107,0.297222,-0.004948,0.151006,-0.003101,-0.988516,-1.322072,0.051508,-0.084253
108,0.300000,-0.005986,0.151071,-0.001707,-0.988503,-1.322301,0.051748,-0.084237
109,0.302778,-0.004868,0.150993,-0.002830,-0.988519,-1.322062,0.051382,-0.084217
110,0.305556,-0.005267,0.150857,-0.002875,-0.988537,-1.322064,0.051579,-0.084266
111,0.308333,-0.005727,0.150321,-0.002741,-0.988617,-1.322172,0.051932,-0.084131
112,0.311111,-0.005157,0.151110,-0.002945,-0.988499,-1.322021,0.051635,-0.084278
113,0.313889,-0.006455,0.150793,-0.001865,-0.988543,-1.322285,0.052166,-0.084281
114,0.316667,-0.005130,0.151024,-0.002931,-0.988513,-1.322059,0.051682,-0.084232
115,0.319444,-0.006274,0.151708,-0.002458,-0.988402,-1.322228,0.051589,-0.084306
116,0.322222,-0.004953,0.149831,-0.003213,-0.988694,-1.322161,0.051670,-0.083986
117,0.325000,-0.004517,0.150147,-0.002195,-0.988651,-1.322099,0.051646,-0.084120
118,0.327778,-0.005886,0.150949,-0.001379,-0.988523,-1.322231,0.051942,-0.084313
119,0.330556,-0.005018,0.151045,-0.003090,-0.988509,-1.322050,0.051605,-0.084252
120,0.333333,-0.006060,0.150954,-0.001706,-0.988521,-1.322283,0.051736,-0.084234
121,0.336111,-0.005059,0.151038,-0.003253,-0.988510,-1.322071,0.051526,-0.084240
122,0.338889,-0.005036,0.150035,-0.002524,-0.988665,-1.322173,0.051772,-0.084091
123,0.341667,-0.006356,0.150660,-0.002075,-0.988563,-1.322238,0.052093,-0.084253
124,0.344444,-0.005245,0.150137,-0.002519,-0.988648,-1.322150,0.051841,-0.084089
125,0.347222,-0.005514,0.150176,-0.002720,-0.988640,-1.322201,0.051868,-0.084102
126,0.350000,-0.005052,0.151054,-0.003034,-0.988508,-1.322046,0.051655,-0.084226
127,0.352778,-0.005272,0.150059,-0.002393,-0.988660,-1.322155,0.051868,-0.084138
128,0.355556,-0.005381,0.150024,-0.002708,-0.988664,-1.322169,0.051878,-0.084123
129,0.358333,-0.004434,0.151059,-0.002402,-0.988512,-1.322043,0.051400,-0.084244
130,0.361111,-0.005543,0.150390,-0.002708,-0.988608,-1.322168,0.051886,-0.084133
131,0.363889,-0.004854,0.150832,-0.001745,-0.988546,-1.322153,0.051666,-0.084221
132,0.366667,-0.005354,0.150334,-0.002493,-0.988618,-1.322197,0.051842,-0.084148
133,0.369444,-0.005023,0.150835,-0.003123,-0.988541,-1.322080,0.051445,-0.084162
134,0.372222,-0.007129,0.151836,-0.001284,-0.988379,-1.322424,0.052122,-0.084365
135,0.375000,-0.004626,0.150188,-0.001755,-0.988645,-1.322143,0.051587,-0.084142
136,0.377778,-0.004292,0.151098,-0.002503,-0.988506,-1.322024,0.051306,-0.084243
137,0.380556,-0.005138,0.150214,-0.002385,-0.988637,-1.322183,0.051849,-0.084128
138,0.383333,-0.005205,0.151130,-0.003196,-0.988495,-1.322072,0.051516,-0.084253
139,0.386111,-0.005800,0.151991,-0.002200,-0.988362,-1.322228,0.051520,-0.084375
140,0.388889,-0.004434,0.150987,-0.002623,-0.988522,-1.322018,0.051438,-0.084274
141,0.391667,-0.005366,0.151022,-0.003505,-0.988510,-1.322105,0.051623,-0.084228
142,0.394444,-0.005643,0.150273,-0.002848,-0.988624,-1.322196,0.051872,-0.084124
143,0.397222,-0.004626,0.150496,-0.001783,-0.988598,-1.322129,0.051595,-0.084119
144,0.400000,-0.004650,0.150298,-0.001843,-0.988628,-1.322164,0.051676,-0.084147
145,0.402778,-0.004796,0.150681,-0.003063,-0.988566,-1.322064,0.051416,-0.084183
146,0.405556,-0.005976,0.151236,-0.001403,-0.988479,-1.322293,0.051803,-0.084233
147,0.408333,-0.005561,0.150180,-0.002873,-0.988639,-1.322193,0.051864,-0.084096
148,0.411111,-0.004739,0.151129,-0.002842,-0.988499,-1.322059,0.051400,-0.084217
149,0.413889,-0.004975,0.150446,-0.002243,-0.988603,-1.322169,0.051712,-0.084121
150,0.416667,-0.005271,0.151019,-0.002964,-0.988512,-1.322055,0.051618,-0.084248
151,0.419444,-0.006290,0.150594,-0.001419,-0.988575,-1.322255,0.052207,-0.084291
152,0.422222,-0.005103,0.150272,-0.002398,-0.988629,-1.322138,0.051813,-0.084148
153,0.425000,-0.004949,0.150300,-0.002505,-0.988625,-1.322170,0.051616,-0.084087
154,0.427778,-0.004860,0.150111,-0.002478,-0.988654,-1.322134,0.051713,-0.084099
155,0.430556,-0.005270,0.150940,-0.003335,-0.988523,-1.322093,0.051621,-0.084185
156,0.433333,-0.005650,0.150686,-0.001233,-0.988565,-1.322209,0.051899,-0.084316
157,0.436111,-0.004553,0.151025,-0.002623,-0.988516,-1.322028,0.051396,-0.084253
158,0.438889,-0.005642,0.150442,-0.002837,-0.988599,-1.322199,0.051874,-0.084084
159,0.441667,-0.004431,0.151144,-0.002500,-0.988499,-1.322014,0.051468,-0.084217
160,0.444444,-0.004458,0.151033,-0.002392,-0.988516,-1.322011,0.051428,-0.084249
161,0.447222,-0.005671,0.150520,-0.002888,-0.988586,-1.322190,0.051907,-0.084154
162,0.450000,-0.004595,0.150353,-0.002076,-0.988620,-1.322132,0.051656,-0.084144
163,0.452778,-0.005541,0.150151,-0.002786,-0.988644,-1.322203,0.051820,-0.084103
164,0.455556,-0.005167,0.151000,-0.003013,-0.988516,-1.322047,0.051626,-0.084258
165,0.458333,-0.005380,0.151241,-0.003417,-0.988476,-1.322087,0.051630,-0.084204
166,0.461111,-0.005597,0.150097,-0.002766,-0.988652,-1.322217,0.051845,-0.084090
167,0.463889,-0.004141,0.150696,-0.002668,-0.988568,-1.322018,0.051180,-0.084213
168,0.466667,-0.005771,0.150761,-0.001513,-0.988552,-1.322255,0.051946,-0.084246
169,0.469444,-0.005142,0.150962,-0.003018,-0.988522,-1.322074,0.051601,-0.084227
170,0.472222,-0.006248,0.151772,-0.002587,-0.988392,-1.322277,0.051616,-0.084296
171,0.475000,-0.005211,0.150178,-0.002309,-0.988643,-1.322168,0.051811,-0.084134
172,0.477778,-0.005424,0.150271,-0.002778,-0.988626,-1.322202,0.051882,-0.084089
173,0.480556,-0.004958,0.150510,-0.002193,-0.988594,-1.322129,0.051663,-0.084123
