timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,gyro.x,gyro.y,gyro.z,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,rlapp.pwmM1,rlapp.pwmM2,rlapp.pwmM3,rlapp.pwmM4,rlapp.tgtGate
223573.226,2.0306105613708496,2.041437864303589,0.35299819707870483,-0.0020674660336226225,-0.0011527808383107185,0.0016017075395211577,-1.1437450647354126,0.025840722024440765,-81.08118438720703,-0.07391638308763504,0.05611373856663704,0.2452244758605957,554.0,-1.0,-302.0,0,0,0,0,0
223583.135,2.030648946762085,2.041451930999756,0.35299789905548096,2.222115290351212e-05,-0.0007127809803932905,0.0014412272721529007,-1.1444339752197266,0.02613699808716774,-81.1573486328125,0.06208030879497528,0.31070178747177124,0.7317707538604736,550.0,0.0,-356.0,0,0,0,0,0
223593.044,2.03070330619812,2.041473865509033,0.35300540924072266,0.0020642487797886133,-0.00027597660664469004,0.0013562378007918596,-1.1443326473236084,0.02643393725156784,-81.23616790771484,-0.09507840126752853,-0.08981253951787949,-0.3971464931964874,549.0,-2.0,-454.0,0,0,0,0,0
223602.967,2.0307531356811523,2.0414843559265137,0.353009968996048,0.004001453518867493,0.00010858269524760544,0.0013618995435535908,-1.145853877067566,0.026232654228806496,-81.27909851074219,-0.15289726853370667,-0.07615753263235092,0.5168829560279846,558.0,-5.0,-584.0,0,0,0,0,0
223612.867,2.0308427810668945,2.0415079593658447,0.35301196575164795,0.005957065615803003,0.0004955901531502604,0.0012581795454025269,-1.1475188732147217,0.027343077585101128,-81.3583984375,-0.304421991109848,0.1221470981836319,-1.0702883005142212,571.0,-7.0,-743.0,0,0,0,0,0
223622.776,2.030944585800171,2.0415310859680176,0.3529990315437317,0.007851388305425644,0.0008581641013734043,0.0008437962969765067,-1.1481425762176514,0.027135083451867104,-81.44911193847656,0.18097878992557526,-0.1882077306509018,0.020878231152892113,582.0,-10.0,-924.0,0,0,0,0,0
223632.689,2.031066417694092,2.041567802429199,0.3529936969280243,0.009873470291495323,0.0012619788758456707,0.000749449769500643,-1.1450245380401611,0.030262067914009094,-81.52056884765625,-0.3668447732925415,-0.33485522866249084,-2.826345443725586,584.0,-17.0,-1116.0,0,0,0,0,0
223642.609,2.0311920642852783,2.0415961742401123,0.3529839515686035,0.011650166474282742,0.0015925400657579303,0.0006708446308039129,-1.1462960243225098,0.03152664005756378,-81.59943389892578,0.1384771317243576,-0.2856205999851227,-0.25164487957954407,600.0,-30.0,-1312.0,0,0,0,0,0
223652.498,2.0311951637268066,2.0416042804718018,0.3529767394065857,0.011647281236946583,0.0016027861274778843,0.0006405500462278724,-1.1456397771835327,0.03179839998483658,-81.63768005371094,-0.4414694309234619,0.05793493613600731,0.5379838347434998,617.0,-33.0,-1507.0,0,0,0,0,0
223662.415,2.03145694732666,2.0416533946990967,0.3529696464538574,0.015008336864411831,0.0022166615817695856,0.0005625445628538728,-1.147658109664917,0.035405486822128296,-81.737548828125,-0.2208584100008011,-0.18558557331562042,-1.6018346548080444,638.0,-35.0,-1709.0,0,0,0,0,0
223672.324,2.0316009521484375,2.0416924953460693,0.3529592752456665,0.016596674919128418,0.0025293491780757904,0.0005779368220828474,-1.14631986618042,0.035349637269973755,-81.82103729248047,0.1764931082725525,0.05069103464484215,-2.134644031524658,648.0,-31.0,-1925.0,0,0,0,0,0
223682.245,2.0317533016204834,2.04172420501709,0.3529455065727234,0.018128501251339912,0.002809771103784442,0.0004958547069691122,-1.1422103643417358,0.02712082490324974,-81.83431243896484,-0.45074641704559326,-2.4447531700134277,-20.82422637939453,649.0,-7.0,-2103.0,0,0,0,0,0
223692.144,2.0319113731384277,2.0417611598968506,0.3529309928417206,0.01959487982094288,0.0030505615286529064,0.0002744551165960729,-1.1409296989440918,0.035108473151922226,-82.04719543457031,0.20494239032268524,0.9822678565979004,32.308021545410156,662.0,-5.0,-2289.0,0,0,0,0,0
223702.049,2.0318892002105713,2.041761636734009,0.35291776061058044,0.01950596645474434,0.003033312503248453,0.00021733065659645945,-1.1393476724624634,0.035141028463840485,-82.0836410522461,-0.18361954391002655,4.258261680603027,-2.757254123687744,668.0,-50.0,-2521.0,0,0,0,0,0
223711.96,2.0322515964508057,2.0418167114257812,0.3529050052165985,0.022360164672136307,0.0035050103906542063,-0.0014931759797036648,-1.1300493478775024,0.03245595842599869,-81.93603515625,0.9274600148200989,4.783655166625977,-5.001397132873535,671.0,-45.0,-2628.0,0,0,0,0,0
