timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,kalman.statePX,kalman.statePY,kalman.statePZ,stateEstimate.vy,stateEstimate.vz,stateEstimate.roll,stateEstimate.pitch,stateEstimate.yaw,gyro.x,gyro.y,gyro.z,acc.x,acc.y,acc.z,motor.m1,motor.m2,motor.m3,motor.m4,rlapp.nnOut0,rlapp.nnOut1,rlapp.nnOut2,rlapp.nnOut3
42917.48,1.7675021886825562,2.2181291580200195,0.16172443330287933,-0.004690490197390318,-0.0069582220166921616,-0.0020141296554356813,0.00334526551887393,-0.0018993321573361754,-0.9844339489936829,-1.2830803394317627,-78.29878234863281,-0.0800030529499054,0.0581224150955677,-0.049598339945077896,-0.024663927033543587,-0.02027076855301857,0.9998641014099121,36374,41195,32880,40709,1.0,0.8820512294769287,-0.09124749153852463,0.02584468014538288
42919.409,1.7675259113311768,2.2180984020233154,0.1617482453584671,-0.004690490197390318,-0.0069582220166921616,-0.0020141296554356813,0.0032206804025918245,-0.0017887149006128311,-0.9843894243240356,-1.2838857173919678,-78.33737182617188,-0.07389330863952637,-0.0002288131945533678,-0.07298973202705383,-0.024273542687296867,-0.019596975296735764,0.9993727207183838,36372,41194,32871,40710,1.0,0.8820512294769287,-0.09124749153852463,0.02584468014538288
42921.386,1.7674461603164673,2.2181315422058105,0.16173042356967926,-0.0049341958947479725,-0.007249144371598959,-0.0020098434761166573,0.0033900339622050524,-0.0017740791663527489,-0.9838616847991943,-1.2834370136260986,-78.26512908935547,-0.13963688910007477,-0.20710867643356323,-0.041391003876924515,-0.02382749132812023,-0.018789414316415787,0.9988369345664978,36371,41193,32862,40712,1.0,1.0,-0.16501013934612274,0.04196576774120331
42923.359,1.7674694061279297,2.2181038856506348,0.16175027191638947,-0.0048024593852460384,-0.007199191488325596,-0.0019136847695335746,0.0032749369274824858,-0.0016817186260595918,-0.9837234616279602,-1.2842185497283936,-78.30368041992188,-0.12547598779201508,-0.32733210921287537,-0.07890904694795609,-0.023302415385842323,-0.018567221239209175,0.9985339045524597,36369,41191,32851,40713,1.0,1.0,-0.16501013934612274,0.04196576774120331
42925.373,1.7674694061279297,2.2181038856506348,0.16175027191638947,-0.0048024593852460384,-0.007199191488325596,-0.0019136847695335746,0.0032749369274824858,-0.0016817186260595918,-0.9837234616279602,-1.2842185497283936,-78.30368041992188,0.03334154561161995,-0.31776371598243713,-0.2306014895439148,-0.023025136440992355,-0.019306326285004616,0.998285174369812,36367,44106,32840,43631,1.0,1.0,-0.18859882652759552,0.052958011627197266
42927.354,1.7674694061279297,2.2181038856506348,0.16175027191638947,-0.004650612361729145,-0.00717040104791522,-0.0017791902646422386,0.0032749369274824858,-0.0016817186260595918,-0.9837234616279602,-1.2842185497283936,-78.30368041992188,0.22352640330791473,-0.19921612739562988,-0.18642738461494446,-0.022517595440149307,-0.020673351362347603,0.998441755771637,36365,44105,32832,43633,1.0,1.0,-0.18859882652759552,0.052958011627197266
42929.283,1.7674918174743652,2.2180721759796143,0.16177843511104584,-0.004658844787627459,-0.007154856808483601,-0.0017791385762393475,0.0031462744809687138,-0.0015511561650782824,-0.9835844039916992,-1.2850407361984253,-78.34237670898438,0.29248782992362976,-0.16928839683532715,0.9282131195068359,-0.021781090646982193,-0.02046547830104828,0.9991607069969177,36363,44103,32827,43634,1.0,1.0,-0.18859882652759552,0.052958011627197266
42931.269,1.7674107551574707,2.2181038856506348,0.16176249086856842,-0.00474123889580369,-0.007377587724477053,-0.0018706336850300431,0.003173235571011901,-0.0016373631078749895,-0.9820225834846497,-1.2824395895004272,-78.27086639404297,0.2684442400932312,-0.17100371420383453,3.2783820629119873,-0.021713774651288986,-0.019240625202655792,0.9998931288719177,36361,44101,32821,43636,1.0,1.0,-0.19534997642040253,0.06204534322023392
42933.242,1.7674107551574707,2.2181038856506348,0.16176249086856842,-0.004599406849592924,-0.0073243104852736,-0.001805571373552084,0.003173235571011901,-0.0016373631078749895,-0.9820225834846497,-1.2824395895004272,-78.27086639404297,0.1167050302028656,-0.17135202884674072,5.624974727630615,-0.023171747103333473,-0.018109174445271492,1.0000123977661133,36359,44099,32810,43638,1.0,1.0,-0.19534997642040253,0.06204534322023392
42935.257,1.7674384117126465,2.218073844909668,0.16177545487880707,-0.00459559541195631,-0.007308631204068661,-0.0018053281819447875,0.003049007384106517,-0.0015764397103339434,-0.9820917248725891,-1.2833815813064575,-78.3094711303711,0.04101252928376198,-0.28882092237472534,6.813920021057129,-0.025795703753829002,-0.016736455261707306,0.9997058510780334,36357,47976,32796,47519,1.0,1.0,-0.19738006591796875,0.06997396051883698
42937.231,1.7674384117126465,2.218073844909668,0.16177545487880707,-0.00459559541195631,-0.007308631204068661,-0.0018053281819447875,0.003049007384106517,-0.0015764397103339434,-0.9820917248725891,-1.2833815813064575,-78.3094711303711,0.12241806834936142,-0.5538303852081299,7.757778167724609,-0.02949809655547142,-0.014795497991144657,0.9995207786560059,36355,47975,32785,47520,1.0,1.0,-0.19738006591796875,0.06997396051883698
42939.157,1.7675422430038452,2.2180871963500977,0.1617470383644104,-0.004577059298753738,-0.006867493037134409,-0.0019262811401858926,0.003127654083073139,-0.0017049408052116632,-0.9856056571006775,-1.282820224761963,-78.34725952148438,0.2924216687679291,-0.9454781413078308,8.560877799987793,-0.035117264837026596,-0.014623970724642277,0.9997664093971252,36354,47974,32777,47521,1.0,1.0,-0.19738006591796875,0.06997396051883698
42941.135,1.7674758434295654,2.218109369277954,0.16172964870929718,-0.0021883496083319187,-0.005051115993410349,-0.0019107898697257042,0.0011509308824315667,-0.001774506294168532,-0.9827407002449036,-1.2806872129440308,-78.29436492919922,0.15832939743995667,-1.4292315244674683,7.4802656173706055,-0.04097796231508255,-0.015568865463137627,1.0003547668457031,36352,47973,32768,47522,1.0,1.0,-0.19820424914360046,0.07691838592290878
42943.107,1.7674758434295654,2.218109369277954,0.16172964870929718,-0.0021883496083319187,-0.005051115993410349,-0.0019107898697257042,0.0011509308824315667,-0.001774506294168532,-0.9827407002449036,-1.2806872129440308,-78.29436492919922,0.06242899224162102,-1.830701470375061,4.730919361114502,-0.04566727951169014,-0.015282564796507359,1.0013235807418823,36349,47973,32755,47523,1.0,1.0,-0.1992175430059433,0.08301934599876404
42945.121,1.767501950263977,2.2180800437927246,0.16175101697444916,-0.002056183759123087,-0.004989148583263159,-0.0018073500832542777,0.0010358376894146204,-0.001675091334618628,-0.9827795624732971,-1.2814960479736328,-78.332763671875,0.08131098747253418,-1.892422080039978,1.736047625541687,-0.04851417988538742,-0.016068333759903908,1.0027613639831543,36345,51203,32741,50754,1.0,1.0,-0.1992175430059433,0.08301934599876404
42947.104,1.767501950263977,2.2180800437927246,0.16175101697444916,-0.002056183759123087,-0.004989148583263159,-0.0018073500832542777,0.0010358376894146204,-0.001675091334618628,-0.9827795624732971,-1.2814960479736328,-78.332763671875,0.048564452677965164,-1.7406282424926758,-0.8979806303977966,-0.048913002014160156,-0.018972940742969513,1.0045408010482788,36341,51202,32731,50754,1.0,1.0,-0.1992175430059433,0.08301934599876404
42949.032,1.767501950263977,2.2180800437927246,0.16175101697444916,-0.002056183759123087,-0.004989148583263159,-0.0018073500832542777,0.0010358376894146204,-0.001675091334618628,-0.9827795624732971,-1.2814960479736328,-78.332763671875,-0.058003563433885574,-1.5525422096252441,-3.209704875946045,-0.04624677449464798,-0.02180434949696064,1.0062406063079834,36337,51202,32725,50754,1.0,1.0,-0.20028702914714813,0.08798201382160187
42951.007,1.7675615549087524,2.21809983253479,0.16170021891593933,0.0002580099680926651,-0.0027897923719137907,-0.0017101340927183628,-0.0007866722880862653,-0.0016672469209879637,-0.9843019247055054,-1.2655576467514038,-78.33329010009766,-0.12048309296369553,-1.4196627140045166,-4.335375785827637,-0.04124803841114044,-0.023803215473890305,1.0071020126342773,36332,51203,32721,50754,1.0,1.0,-0.20028702914714813,0.08798201382160187
42952.984,1.7675615549087524,2.21809983253479,0.16170021891593933,0.0002580099680926651,-0.0027897923719137907,-0.0017101340927183628,-0.0007866722880862653,-0.0016672469209879637,-0.9843019247055054,-1.2655576467514038,-78.33329010009766,-0.012577065266668797,-1.4712039232254028,-4.116361618041992,-0.035095494240522385,-0.02636975795030594,1.0068532228469849,36324,51203,32718,50753,1.0,1.0,-0.2006140649318695,0.09199948608875275
42954.996,1.7675615549087524,2.21809983253479,0.16170021891593933,0.0002580099680926651,-0.0027897923719137907,-0.0017101340927183628,-0.0007866722880862653,-0.0016672469209879637,-0.9843019247055054,-1.2655576467514038,-78.33329010009766,0.08216877281665802,-1.6673393249511719,-3.715268135070801,-0.02884809672832489,-0.029892107471823692,1.00571870803833,36316,53297,32718,52845,1.0,1.0,-0.2006140649318695,0.09199948608875275
42956.984,1.7676582336425781,2.218121290206909,0.16167500615119934,0.00024088886857498437,-0.0023835927713662386,-0.0018171973060816526,-0.0006841832073405385,-0.0017807194963097572,-0.9877246022224426,-1.2647887468338013,-78.37152099609375,-0.024835536256432533,-1.8389737606048584,-3.912952423095703,-0.0226517915725708,-0.03252507373690605,1.0039771795272827,36311,53297,32722,52844,1.0,1.0,-0.2006140649318695,0.09199948608875275
42958.905,1.7676582336425781,2.218121290206909,0.16167500615119934,0.00024088886857498437,-0.0023835927713662386,-0.0018171973060816526,-0.0006841832073405385,-0.0017807194963097572,-0.9877246022224426,-1.2647887468338013,-78.37152099609375,-0.34110701084136963,-1.9224687814712524,-4.222054958343506,-0.016390223056077957,-0.0331791527569294,1.0017472505569458,36308,53298,32730,52843,1.0,1.0,-0.20104719698429108,0.09548977762460709
42960.877,1.7676454782485962,2.2181055545806885,0.1616598516702652,0.0024232270661741495,-0.00025828133220784366,-0.0012952886754646897,-0.002491757506504655,-0.0012451893417164683,-0.9889636039733887,-1.2480473518371582,-78.41056823730469,-0.5608053803443909,-1.7153151035308838,-3.9255754947662354,-0.011519091203808784,-0.0321880504488945,0.9989817142486572,36304,53300,32744,52842,1.0,1.0,-0.20104719698429108,0.09548977762460709
42962.857,1.7677439451217651,2.2181270122528076,0.16163796186447144,0.0024156339932233095,-0.00024354728520847857,-0.0012952379183843732,-0.0023918687365949154,-0.001343096955679357,-0.9924560785293579,-1.247230887413025,-78.44880676269531,-0.5625592470169067,-1.3573330640792847,-3.434164047241211,-0.008585378527641296,-0.030163690447807312,0.9960042238235474,36297,53302,32765,52840,1.0,1.0,-0.20104719698429108,0.09548977762460709
